id,forecast_version,forecast_month,item_id,site_code,customer_id,quantity,unit_price,status
3001,2026-06-SOP,2026-07,ACT-0001,100,CUST-0001,8.32,3393.07,Approved
3002,2026-06-SOP,2026-07,ACT-0002,200,,15.6,577.45,Approved
3003,2026-06-SOP,2026-07,ACT-0003,100,,22.88,2938.68,Approved
3004,2026-06-SOP,2026-07,ACT-0004,200,,30.16,302.85,Approved
3005,2026-06-SOP,2026-07,ACT-0005,100,CUST-0053,37.44,1195.71,Approved
3006,2026-06-SOP,2026-07,ACT-0006,200,,44.72,802.09,Approved
3007,2026-06-SOP,2026-07,ACT-0007,100,,52.0,4323.02,Approved
3008,2026-06-SOP,2026-07,ACT-0008,200,,59.28,325.41,Approved
3009,2026-06-SOP,2026-07,ACT-0009,100,CUST-0105,66.56,527.67,Approved
3010,2026-06-SOP,2026-07,ACT-0010,200,,73.84,3284.37,Approved
3011,2026-06-SOP,2026-07,ACT-0011,100,,8.32,621.76,Approved
3012,2026-06-SOP,2026-07,ACT-0012,200,,15.6,470.39,Approved
3013,2026-06-SOP,2026-07,ACT-0013,100,CUST-0157,22.88,571.98,Approved
3014,2026-06-SOP,2026-07,ACT-0014,200,,30.16,850.75,Approved
3015,2026-06-SOP,2026-07,ACT-0015,100,,37.44,1535.5,Approved
3016,2026-06-SOP,2026-07,ACT-0016,200,,44.72,314.86,Approved
3017,2026-06-SOP,2026-07,ACT-0017,100,CUST-0209,52.0,930.22,Approved
3018,2026-06-SOP,2026-07,ACT-0018,200,,59.28,1572.91,Approved
3019,2026-06-SOP,2026-07,ACT-0019,100,,66.56,1892.53,Approved
3020,2026-06-SOP,2026-07,ACT-0020,200,,73.84,963.38,Approved
3021,2026-06-SOP,2026-07,ACT-0021,100,CUST-0021,8.32,1450.19,Approved
3022,2026-06-SOP,2026-07,ACT-0022,200,,15.6,1414.86,Approved
3023,2026-06-SOP,2026-07,ACT-0023,100,,22.88,3351.06,Approved
3024,2026-06-SOP,2026-07,ACT-0024,200,,30.16,2938.87,Approved
3025,2026-06-SOP,2026-07,ACT-0025,100,CUST-0073,37.44,4173.42,Approved
3026,2026-06-SOP,2026-07,ACT-0026,200,,44.72,2506.29,Approved
3027,2026-06-SOP,2026-07,ACT-0027,100,,52.0,4273.51,Approved
3028,2026-06-SOP,2026-07,ACT-0028,200,,59.28,333.73,Approved
3029,2026-06-SOP,2026-07,ACT-0029,100,CUST-0125,66.56,1318.94,Approved
3030,2026-06-SOP,2026-07,ACT-0030,200,,73.84,643.14,Approved
3031,2026-06-SOP,2026-07,ACT-0031,100,,8.32,3710.38,Approved
3032,2026-06-SOP,2026-07,ACT-0032,200,,15.6,347.28,Approved
3033,2026-06-SOP,2026-07,ACT-0033,100,CUST-0177,22.88,2003.29,Approved
3034,2026-06-SOP,2026-07,ACT-0034,200,,30.16,521.08,Approved
3035,2026-06-SOP,2026-07,ACT-0035,100,,37.44,3068.53,Approved
3036,2026-06-SOP,2026-07,ACT-0036,200,,44.72,296.0,Approved
3037,2026-06-SOP,2026-07,ACT-0037,100,CUST-0229,52.0,5494.71,Approved
3038,2026-06-SOP,2026-07,ACT-0038,200,,59.28,622.01,Approved
3039,2026-06-SOP,2026-07,ACT-0039,100,,66.56,1134.13,Approved
3040,2026-06-SOP,2026-07,ACT-0040,200,,73.84,302.76,Approved
3041,2026-06-SOP,2026-07,ACT-0041,100,CUST-0041,8.32,682.35,Approved
3042,2026-06-SOP,2026-07,ACT-0042,200,,15.6,1005.42,Approved
3043,2026-06-SOP,2026-07,ACT-0043,100,,22.88,713.94,Approved
3044,2026-06-SOP,2026-07,ACT-0044,200,,30.16,277.0,Approved
3045,2026-06-SOP,2026-07,ACT-0045,100,CUST-0093,37.44,458.79,Approved
3046,2026-06-SOP,2026-07,ACT-0046,200,,44.72,811.03,Approved
3047,2026-06-SOP,2026-07,ACT-0047,100,,52.0,1161.02,Approved
3048,2026-06-SOP,2026-07,ACT-0048,200,,59.28,589.86,Approved
3049,2026-06-SOP,2026-07,ACT-0049,100,CUST-0145,66.56,1297.33,Approved
3050,2026-06-SOP,2026-07,ACT-0050,200,,73.84,1523.79,Approved
3051,2026-06-SOP,2026-07,ACT-0051,100,,8.32,6594.64,Approved
3052,2026-06-SOP,2026-07,ACT-0052,200,,15.6,950.81,Approved
3053,2026-06-SOP,2026-07,ACT-0053,100,CUST-0197,22.88,683.13,Approved
3054,2026-06-SOP,2026-07,ACT-0054,200,,30.16,5794.82,Approved
3055,2026-06-SOP,2026-07,ACT-0055,100,,37.44,3284.38,Approved
3056,2026-06-SOP,2026-07,ACT-0056,200,,44.72,966.53,Approved
3057,2026-06-SOP,2026-07,ACT-0057,100,CUST-0009,52.0,3745.03,Approved
3058,2026-06-SOP,2026-07,ACT-0058,200,,59.28,522.61,Approved
3059,2026-06-SOP,2026-07,ACT-0059,100,,66.56,1265.87,Approved
3060,2026-06-SOP,2026-07,ACT-0060,200,,73.84,325.39,Approved
3061,2026-06-SOP,2026-07,AFT-0001,100,CUST-0061,8.32,2613.91,Approved
3062,2026-06-SOP,2026-07,AFT-0002,100,,15.6,2515.69,Approved
3063,2026-06-SOP,2026-07,AFT-0003,300,,22.88,7053.19,Approved
3064,2026-06-SOP,2026-07,AFT-0004,100,,30.16,3062.37,Approved
3065,2026-06-SOP,2026-07,AFT-0005,100,CUST-0113,37.44,3383.96,Approved
3066,2026-06-SOP,2026-07,AFT-0006,300,,44.72,8463.22,Approved
3067,2026-06-SOP,2026-07,AFT-0007,100,,52.0,441.75,Approved
3068,2026-06-SOP,2026-07,AFT-0008,100,,59.28,367.12,Approved
3069,2026-06-SOP,2026-07,AFT-0009,300,CUST-0165,66.56,958.09,Approved
3070,2026-06-SOP,2026-07,AFT-0010,100,,73.84,346.63,Approved
3071,2026-06-SOP,2026-07,AFT-0011,100,,8.32,656.8,Approved
3072,2026-06-SOP,2026-07,AFT-0012,300,,15.6,1455.78,Approved
3073,2026-06-SOP,2026-07,AFT-0013,100,CUST-0217,22.88,4333.25,Approved
3074,2026-06-SOP,2026-07,AFT-0014,100,,30.16,1397.01,Approved
3075,2026-06-SOP,2026-07,AFT-0015,300,,37.44,1703.35,Approved
3076,2026-06-SOP,2026-07,AFT-0016,100,,44.72,2602.48,Approved
3077,2026-06-SOP,2026-07,AFT-0017,100,CUST-0029,52.0,2665.45,Approved
3078,2026-06-SOP,2026-07,AFT-0018,300,,59.28,833.83,Approved
3079,2026-06-SOP,2026-07,AFT-0019,100,,66.56,1115.51,Approved
3080,2026-06-SOP,2026-07,AFT-0020,100,,73.84,1152.62,Approved
3081,2026-06-SOP,2026-07,AFT-0021,300,CUST-0081,8.32,589.88,Approved
3082,2026-06-SOP,2026-07,AFT-0022,100,,15.6,341.47,Approved
3083,2026-06-SOP,2026-07,AFT-0023,100,,22.88,420.28,Approved
3084,2026-06-SOP,2026-07,AFT-0024,300,,30.16,913.31,Approved
3085,2026-06-SOP,2026-07,AFT-0025,100,CUST-0133,37.44,679.8,Approved
3086,2026-06-SOP,2026-07,AFT-0026,100,,44.72,281.97,Approved
3087,2026-06-SOP,2026-07,AFT-0027,300,,52.0,482.44,Approved
3088,2026-06-SOP,2026-07,AFT-0028,100,,59.28,522.03,Approved
3089,2026-06-SOP,2026-07,AFT-0029,100,CUST-0185,66.56,664.14,Approved
3090,2026-06-SOP,2026-07,AFT-0030,300,,73.84,526.18,Approved
3091,2026-06-SOP,2026-07,AFT-0031,100,,8.32,484.64,Approved
3092,2026-06-SOP,2026-07,AFT-0032,100,,15.6,950.13,Approved
3093,2026-06-SOP,2026-07,AFT-0033,300,CUST-0237,22.88,1445.9,Approved
3094,2026-06-SOP,2026-07,AFT-0034,100,,30.16,736.99,Approved
3095,2026-06-SOP,2026-07,AFT-0035,100,,37.44,3421.66,Approved
3096,2026-06-SOP,2026-07,AFT-0036,300,,44.72,1440.35,Approved
3097,2026-06-SOP,2026-07,AFT-0037,100,CUST-0049,52.0,4734.4,Approved
3098,2026-06-SOP,2026-07,AFT-0038,100,,59.28,2124.33,Approved
3099,2026-06-SOP,2026-07,AFT-0039,300,,66.56,12219.16,Approved
3100,2026-06-SOP,2026-07,AFT-0040,100,,73.84,822.39,Approved
3101,2026-06-SOP,2026-07,AFT-0041,100,CUST-0101,8.32,1710.34,Approved
3102,2026-06-SOP,2026-07,AFT-0042,300,,15.6,446.63,Approved
3103,2026-06-SOP,2026-07,AFT-0043,100,,22.88,1063.23,Approved
3104,2026-06-SOP,2026-07,AFT-0044,100,,30.16,1541.8,Approved
3105,2026-06-SOP,2026-07,AFT-0045,300,CUST-0153,37.44,1990.34,Approved
3106,2026-06-SOP,2026-07,AFT-0046,100,,44.72,948.77,Approved
3107,2026-06-SOP,2026-07,AFT-0047,100,,52.0,2719.51,Approved
3108,2026-06-SOP,2026-07,AFT-0048,300,,59.28,3814.99,Approved
3109,2026-06-SOP,2026-07,AFT-0049,100,CUST-0205,66.56,1074.55,Approved
3110,2026-06-SOP,2026-07,AFT-0050,100,,73.84,3744.41,Approved
3111,2026-06-SOP,2026-07,AFT-0051,300,,8.32,2067.42,Approved
3112,2026-06-SOP,2026-07,AFT-0052,100,,15.6,493.16,Approved
3113,2026-06-SOP,2026-07,AFT-0053,100,CUST-0017,22.88,692.84,Approved
3114,2026-06-SOP,2026-07,AFT-0054,300,,30.16,403.93,Approved
3115,2026-06-SOP,2026-07,AFT-0055,100,,37.44,413.81,Approved
3116,2026-06-SOP,2026-07,AFT-0056,100,,44.72,576.28,Approved
3117,2026-06-SOP,2026-07,AFT-0057,300,CUST-0069,52.0,937.29,Approved
3118,2026-06-SOP,2026-07,AFT-0058,100,,59.28,382.45,Approved
3119,2026-06-SOP,2026-07,AFT-0059,100,,66.56,422.02,Approved
3120,2026-06-SOP,2026-07,AFT-0060,300,,73.84,545.47,Approved
3121,2026-06-SOP,2026-07,CTL-0001,300,CUST-0121,8.32,3154.04,Approved
3122,2026-06-SOP,2026-07,CTL-0002,300,,15.6,1616.96,Approved
3123,2026-06-SOP,2026-07,CTL-0003,300,,22.88,2642.0,Approved
3124,2026-06-SOP,2026-07,CTL-0004,300,,30.16,2103.44,Approved
3125,2026-06-SOP,2026-07,CTL-0005,300,CUST-0173,37.44,1638.4,Approved
3126,2026-06-SOP,2026-07,CTL-0006,300,,44.72,2513.14,Approved
3127,2026-06-SOP,2026-07,CTL-0007,300,,52.0,3152.81,Approved
3128,2026-06-SOP,2026-07,CTL-0008,300,,59.28,1030.14,Approved
3129,2026-06-SOP,2026-07,CTL-0009,300,CUST-0225,66.56,2155.31,Approved
