id,transaction_date,transaction_type,item_id,site_code,warehouse_code,location_code,lot_number,quantity,unit_cost,reference_type,reference_id,quality_status,journal_id,extended_value
3053,2026-01-01,Production Issue,RM-0101,200,200-RM,200-RM-02,,-83.5116,17.71,Production Order,MO-000525,Available,,-1478.990436
3054,2026-01-01,Production Issue,RM-0124,200,200-RM,200-RM-03,,-22.0994,11.16,Production Order,MO-000525,Available,,-246.629304
3055,2026-01-01,Production Issue,RM-0147,200,200-RM,200-RM-04,,-39.6576,29.98,Production Order,MO-000525,Available,,-1188.934848
6475,2026-01-01,Production Issue,RM-0092,100,100-RM,100-RM-02,,-23.0714,35.71,Production Order,MO-001114,Available,,-823.8796940000001
6476,2026-01-01,Production Issue,RM-0115,100,100-RM,100-RM-03,,-32.3014,29.16,Production Order,MO-001114,Available,,-941.908824
6477,2026-01-01,Production Issue,RM-0138,100,100-RM,100-RM-04,,-8.3745,22.61,Production Order,MO-001114,Available,,-189.347445
6478,2026-01-01,Production Issue,PC-0011,100,100-RM,100-RM-05,,-16.6711,80.64,Production Order,MO-001114,Available,,-1344.3575039999998
9915,2026-01-01,Production Issue,PC-0078,100,100-RM,100-RM-02,,-55.6692,97.0,Production Order,MO-001703,Available,,-5399.912399999999
9916,2026-01-01,Production Issue,RM-0001,100,100-RM,100-RM-03,,-89.4093,11.98,Production Order,MO-001703,Available,,-1071.1234140000001
9917,2026-01-01,Production Issue,RM-0024,100,100-RM,100-RM-04,,-133.4323,30.8,Production Order,MO-001703,Available,,-4109.71484
11792,2026-01-01,Transfer Out,AFT-0049,100,100-FG,100-FG-05,,-2.985,719.95,Transfer Order,TO-AFT-002024,Available,,-2149.05075
11793,2026-01-01,Transfer In,AFT-0049,400,400-FG,400-FG-05,,2.985,719.95,Transfer Order,TO-AFT-002024,Available,,2149.05075
13342,2026-01-01,Production Issue,PC-0069,100,100-RM,100-RM-02,,-7.446,67.55,Production Order,MO-002292,Available,,-502.97729999999996
13343,2026-01-01,Production Issue,PC-0092,100,100-RM,100-RM-03,,-22.134,142.82,Production Order,MO-002292,Available,,-3161.1778799999997
13344,2026-01-01,Production Issue,SA-0045,100,100-RM,100-RM-04,,-38.6306,283.66,Production Order,MO-002292,Available,,-10957.955996
13345,2026-01-01,Production Issue,RM-0023,100,100-RM,100-RM-05,,-52.0239,29.98,Production Order,MO-002292,Available,,-1559.676522
16770,2026-01-01,Production Issue,RM-0054,200,200-RM,200-RM-02,,-14.5346,29.98,Production Order,MO-002881,Available,,-435.747308
16771,2026-01-01,Production Issue,RM-0077,200,200-RM,200-RM-03,,-2.0743,23.43,Production Order,MO-002881,Available,,-48.600849
