order_number,item_id,site_code,status,production_order_id,material_price_variance,material_usage_variance,labor_rate_variance,labor_efficiency_variance,variable_overhead_variance,fixed_overhead_volume_variance,scrap_variance,substitution_variance,total_variance,settled_date
MO-000043,ACT-0032,200,Ended,43,0.0,62.31,2.27,-11.47,-4.11,-7.83,18.61,0.0,59.78,2026-01-02
MO-000044,CTL-0009,300,Ended,44,0.0,923.49,-7.27,-12.58,-4.76,-66.72,102.59,0.0,934.75,2026-01-19
MO-000045,SYS-0006,300,Ended,45,0.0,29.54,6.98,5.17,1.71,-1021.21,196.48,0.0,-781.34,2026-02-05
MO-000046,AFT-0013,100,Ended,46,0.0,3898.88,40.45,50.42,18.43,-2178.88,1650.1,0.0,3479.4,2026-02-22
MO-000047,AFT-0050,100,Ended,47,0.0,3189.78,10.41,14.99,5.06,-1512.14,1297.44,0.0,3005.54,2026-03-11
MO-000048,SA-0027,100,Ended,48,0.0,24.3,6.53,-3.69,-1.38,214.43,19.28,0.0,259.47,2026-03-28
MO-000049,SA-0064,200,Ended,49,0.0,17.63,2.38,0.38,0.17,39.95,4.76,0.0,65.27,2026-04-14
MO-000050,DRV-0001,100,Ended,50,0.0,348.12,9.97,11.31,4.17,-220.02,188.65,0.0,342.19,2026-05-01
MO-000051,DRV-0038,200,Ended,51,0.0,83.05,8.17,14.65,5.33,-39.5,87.09,0.0,158.79,2026-05-18
MO-000052,ACT-0015,100,Ended,52,0.0,384.45,3.6,-3.32,-2.14,-213.92,225.72,0.0,394.39,2026-06-04
MO-000053,ACT-0052,200,Reported Finished,53,0.0,2575.11,-5.54,0.43,1.03,-13.36,58.19,0.0,2615.85,
MO-000097,SA-0090,100,Ended,97,0.0,-0.71,0.39,-7.5,-2.69,-656.74,35.53,0.0,-631.73,2026-01-10
MO-000098,DRV-0027,100,Ended,98,0.0,26.77,-2.07,-10.6,-3.65,-26.89,81.81,0.0,65.36,2026-01-27
MO-000099,ACT-0004,200,Ended,99,0.0,-1.8,-1.58,-8.17,-2.96,50.8,8.12,0.0,44.42,2026-02-13
MO-000100,ACT-0041,100,Ended,100,0.0,128.59,7.56,-1.02,-0.48,-22.85,155.24,0.0,267.03,2026-03-02
MO-000101,CTL-0018,300,Ended,101,0.0,633.68,22.78,16.88,5.98,-1027.34,246.62,0.0,-101.41,2026-03-19
MO-000102,SYS-0015,100,Ended,102,0.0,-2601.66,32.64,64.69,25.28,-2311.47,2311.08,0.0,-2479.44,2026-04-05
MO-000103,AFT-0022,100,Ended,103,0.0,28.42,18.37,19.24,7.42,-37.49,78.88,0.0,114.84,2026-04-22
MO-000104,AFT-0059,100,Ended,104,0.0,8.77,4.79,-4.07,-1.47,165.55,4.05,0.0,177.62,2026-05-09
