id,receipt_number,po_id,receipt_date,site_code,status,item_id,quantity,unit_price,standard_unit_cost,quality_status
1219,RCV-0001219,1339,2026-01-01,100,Received,PC-0075,374.0874,91.29,87.19,Accepted
1363,RCV-0001363,1498,2026-01-01,300,Received,RM-0083,216.3323,26.87,28.34,Accepted
1508,RCV-0001508,1657,2026-01-01,200,Received,PC-0064,839.6821,51.29,51.19,Accepted
3993,RCV-0003993,4391,2026-01-01,300,Received,RM-0016,442.2124,23.64,24.25,Accepted
4138,RCV-0004138,4550,2026-01-01,100,Received,RM-0130,91.1299,16.54,16.07,Accepted
4283,RCV-0004283,4709,2026-01-01,300,Received,RM-0007,468.3612,15.71,16.89,Accepted
6012,RCV-0006012,6613,2026-01-01,100,Received,RM-0126,703.75,11.9,12.8,Accepted
6158,RCV-0006158,6772,2026-01-01,200,Received,RM-0004,478.7839,14.2,14.43,Accepted
6302,RCV-0006302,6931,2026-01-01,200,Received,RM-0115,827.2848,30.27,29.16,Accepted
8785,RCV-0008785,9665,2026-01-01,100,Received,PC-0025,247.3241,127.85,126.46,Accepted
8929,RCV-0008929,9824,2026-01-01,300,Received,RM-0043,314.7656,22.34,20.98,Accepted
9073,RCV-0009073,9983,2026-01-01,100,Received,PC-0014,531.0486,87.38,90.46,Accepted
10801,RCV-0010801,11887,2026-01-01,300,Received,RM-0040,803.8461,17.89,18.52,Accepted
10945,RCV-0010945,12046,2026-01-01,100,Received,PC-0010,225.1026,78.92,77.37,Accepted
11986,RCV-0011986,13194,2026-01-01,100,Received,RM-0074,644.8966,19.89,20.98,Accepted
13572,RCV-0013572,14939,2026-01-01,300,Received,RM-0079,102.8785,26.25,25.07,Accepted
1004,RCV-0001004,1102,2026-01-02,100,Received,RM-0061,78.787,37.71,35.71,Accepted
2048,RCV-0002048,2250,2026-01-02,200,Received,PC-0086,52.3323,121.22,123.19,Accepted
3634,RCV-0003634,3995,2026-01-02,100,Received,PC-0092,103.2019,132.82,142.82,Accepted
3777,RCV-0003777,4154,2026-01-02,200,Received,RM-0102,343.0075,18.22,18.52,Accepted
3922,RCV-0003922,4313,2026-01-02,100,Received,PC-0083,453.6299,117.68,113.37,Accepted
5651,RCV-0005651,6217,2026-01-02,300,Received,RM-0098,241.918,15.83,15.25,Accepted
6695,RCV-0006695,7365,2026-01-02,100,Received,RM-0024,440.25,29.75,30.8,Accepted
6840,RCV-0006840,7524,2026-01-02,300,Received,RM-0139,58.3449,23.9,23.43,Accepted
8569,RCV-0008569,9428,2026-01-02,100,Received,RM-0021,381.4962,28.91,28.34,Accepted
8714,RCV-0008714,9587,2026-01-02,300,Received,RM-0135,111.0353,21.65,20.16,Accepted
11339,RCV-0011339,12480,2026-01-02,200,Received,RM-0060,265.5478,33.08,34.89,Accepted
11483,RCV-0011483,12639,2026-01-02,200,Received,PC-0036,230.3747,61.12,61.0,Accepted
11626,RCV-0011626,12798,2026-01-02,300,Received,RM-0051,246.6274,29.06,27.52,Accepted
13210,RCV-0013210,14543,2026-01-02,100,Received,RM-0057,406.2007,32.49,32.43,Accepted
13354,RCV-0013354,14702,2026-01-02,300,Received,PC-0031,214.2234,47.14,44.64,Accepted
13500,RCV-0013500,14861,2026-01-02,100,Received,RM-0048,370.5698,23.99,25.07,Accepted
1399,RCV-0001399,1536,2026-01-03,300,Received,PC-0070,307.3397,69.69,70.82,Accepted
1543,RCV-0001543,1695,2026-01-03,200,Received,RM-0080,259.677,26.87,25.89,Accepted
1687,RCV-0001687,1854,2026-01-03,100,Received,PC-0061,549.1204,134.11,142.82,Accepted
3271,RCV-0003271,3599,2026-01-03,200,Received,PC-0066,168.5435,59.92,57.73,Accepted
3417,RCV-0003417,3758,2026-01-03,100,Received,RM-0077,617.7586,22.0,23.43,Accepted
3562,RCV-0003562,3917,2026-01-03,300,Received,PC-0056,137.1487,125.57,126.46,Accepted
6193,RCV-0006193,6810,2026-01-03,200,Received,RM-0122,316.2248,35.59,34.89,Accepted
6481,RCV-0006481,7128,2026-01-03,300,Received,RM-0111,73.8494,25.24,25.89,Accepted
8066,RCV-0008066,8873,2026-01-03,100,Received,RM-0119,107.5895,34.83,32.43,Accepted
8209,RCV-0008209,9032,2026-01-03,200,Received,PC-0097,241.703,56.29,57.73,Accepted
8355,RCV-0008355,9191,2026-01-03,300,Received,RM-0107,143.1404,23.27,22.61,Accepted
10980,RCV-0010980,12084,2026-01-03,300,Received,RM-0037,211.5305,16.97,16.07,Accepted
11125,RCV-0011125,12243,2026-01-03,300,Received,PC-0005,146.8096,58.38,61.0,Accepted
11268,RCV-0011268,12402,2026-01-03,100,Received,RM-0029,466.9056,35.27,34.89,Accepted
12850,RCV-0012850,14147,2026-01-03,200,Received,RM-0034,133.6038,13.02,13.61,Accepted
13141,RCV-0013141,14465,2026-01-03,300,Received,RM-0025,98.3603,33.66,31.61,Accepted
1039,RCV-0001039,1140,2026-01-04,200,Received,PC-0042,159.8057,75.72,80.64,Accepted
1184,RCV-0001184,1299,2026-01-04,300,Received,RM-0057,505.3175,32.2,32.43,Accepted
1328,RCV-0001328,1458,2026-01-04,100,Received,PC-0033,368.1188,53.6,51.19,Accepted
2913,RCV-0002913,3203,2026-01-04,100,Received,PC-0039,207.7789,70.32,70.82,Accepted
3059,RCV-0003059,3362,2026-01-04,300,Received,RM-0054,227.3346,31.39,29.98,Accepted
3201,RCV-0003201,3521,2026-01-04,100,Received,PC-0028,254.0645,129.19,136.28,Accepted
5832,RCV-0005832,6414,2026-01-04,200,Received,RM-0094,43.6617,11.68,11.98,Accepted
5977,RCV-0005977,6573,2026-01-04,200,Received,PC-0076,199.3999,93.08,90.46,Accepted
6121,RCV-0006121,6732,2026-01-04,100,Received,RM-0085,614.0236,27.88,29.98,Accepted
7707,RCV-0007707,8477,2026-01-04,100,Received,RM-0091,46.4985,35.9,34.89,Accepted
7851,RCV-0007851,8636,2026-01-04,200,Received,PC-0072,207.5174,71.95,77.37,Accepted
8892,RCV-0008892,9784,2026-01-04,100,Received,RM-0132,256.1861,17.9,17.71,Accepted
10619,RCV-0010619,11688,2026-01-04,100,Received,RM-0015,479.7553,23.69,23.43,Accepted
10764,RCV-0010764,11847,2026-01-04,200,Received,RM-0127,262.5178,14.49,13.61,Accepted
12491,RCV-0012491,13751,2026-01-04,100,Received,RM-0011,429.8981,21.47,20.16,Accepted
13535,RCV-0013535,14899,2026-01-04,100,Received,PC-0027,498.9002,132.07,133.0,Accepted
678,RCV-0000678,744,2026-01-05,300,Received,PC-0013,129.8747,91.29,87.19,Accepted
821,RCV-0000821,903,2026-01-05,100,Received,RM-0035,613.6465,13.68,14.43,Accepted
967,RCV-0000967,1062,2026-01-05,300,Received,PC-0002,463.6058,51.29,51.19,Accepted
2553,RCV-0002553,2807,2026-01-05,300,Received,PC-0009,40.8363,70.24,74.09,Accepted
3597,RCV-0003597,3955,2026-01-05,300,Received,RM-0073,397.3136,20.74,20.16,Accepted
3742,RCV-0003742,4114,2026-01-05,100,Received,PC-0053,212.8144,108.48,116.64,Accepted
5471,RCV-0005471,6018,2026-01-05,200,Received,RM-0070,391.7742,16.47,17.71,Accepted
5615,RCV-0005615,6177,2026-01-05,100,Received,PC-0049,332.3815,101.89,103.55,Accepted
5759,RCV-0005759,6336,2026-01-05,200,Received,RM-0062,205.4528,11.58,11.16,Accepted
8244,RCV-0008244,9070,2026-01-05,300,Received,RM-0113,149.8283,27.82,27.52,Accepted
8389,RCV-0008389,9229,2026-01-05,100,Received,PC-0094,98.8219,51.02,47.91,Accepted
8533,RCV-0008533,9388,2026-01-05,100,Received,RM-0104,217.6136,19.47,20.16,Accepted
10261,RCV-0010261,11292,2026-01-05,200,Received,PC-0090,347.7457,131.65,136.28,Accepted
10405,RCV-0010405,11451,2026-01-05,200,Received,RM-0100,95.2976,17.23,16.89,Accepted
10550,RCV-0010550,11610,2026-01-05,200,Received,PC-0081,211.819,114.72,106.82,Accepted
13031,RCV-0013031,14344,2026-01-05,200,Received,RM-0031,334.511,11.68,11.16,Accepted
13175,RCV-0013175,14503,2026-01-05,300,Received,RM-0147,466.3011,28.42,29.98,Accepted
13319,RCV-0013319,14662,2026-01-05,200,Received,RM-0022,438.3227,29.22,29.16,Accepted
318,RCV-0000318,348,2026-01-06,200,Received,RM-0135,288.9839,20.2,20.16,Accepted
462,RCV-0000462,507,2026-01-06,100,Received,RM-0012,825.2527,22.15,20.98,Accepted
608,RCV-0000608,666,2026-01-06,300,Received,RM-0124,654.1671,10.68,11.16,Accepted
3094,RCV-0003094,3400,2026-01-06,100,Received,PC-0036,193.8923,56.73,61.0,Accepted
3236,RCV-0003236,3559,2026-01-06,200,Received,RM-0051,874.7525,27.08,27.52,Accepted
3381,RCV-0003381,3718,2026-01-06,200,Received,PC-0023,223.8691,124.47,119.91,Accepted
5112,RCV-0005112,5622,2026-01-06,300,Received,RM-0047,158.4958,25.17,24.25,Accepted
5257,RCV-0005257,5781,2026-01-06,200,Received,PC-0019,99.5926,100.3,106.82,Accepted
5400,RCV-0005400,5940,2026-01-06,300,Received,RM-0039,312.5582,17.59,17.71,Accepted
7885,RCV-0007885,8674,2026-01-06,200,Received,RM-0087,534.6016,30.54,31.61,Accepted
8030,RCV-0008030,8833,2026-01-06,100,Received,PC-0068,514.7993,65.57,64.28,Accepted
8174,RCV-0008174,8992,2026-01-06,300,Received,RM-0078,1002.5881,26.04,24.25,Accepted
9903,RCV-0009903,10896,2026-01-06,300,Received,PC-0064,172.799,54.98,51.19,Accepted
10046,RCV-0010046,11055,2026-01-06,100,Received,RM-0075,481.6373,21.26,21.8,Accepted
10943,RCV-0010943,12044,2026-01-06,100,Received,RM-0124,260.3893,11.18,11.16,Accepted
12671,RCV-0012671,13948,2026-01-06,100,Received,RM-0008,674.9584,17.75,17.71,Accepted
12815,RCV-0012815,14107,2026-01-06,200,Received,RM-0120,423.96,35.11,33.25,Accepted
12959,RCV-0012959,14266,2026-01-06,300,Received,PC-0098,98.6868,58.38,61.0,Accepted
103,RCV-0000103,111,2026-01-07,200,Received,PC-0087,1043.2546,127.85,126.46,Accepted
2734,RCV-0002734,3004,2026-01-07,200,Received,PC-0005,183.6548,63.32,61.0,Accepted
2878,RCV-0002878,3163,2026-01-07,300,Received,RM-0028,270.111,31.99,34.07,Accepted
3023,RCV-0003023,3322,2026-01-07,100,Received,RM-0145,104.8428,28.14,28.34,Accepted
4751,RCV-0004751,5226,2026-01-07,100,Received,RM-0025,376.9929,31.39,31.61,Accepted
5793,RCV-0005793,6374,2026-01-07,100,Received,PC-0044,228.3211,93.64,87.19,Accepted
7526,RCV-0007526,8278,2026-01-07,200,Received,RM-0064,555.6502,13.75,12.8,Accepted
7671,RCV-0007671,8437,2026-01-07,200,Received,PC-0040,73.5426,72.24,74.09,Accepted
7815,RCV-0007815,8596,2026-01-07,100,Received,RM-0056,380.508,32.53,31.61,Accepted
10439,RCV-0010439,11489,2026-01-07,300,Received,PC-0086,669.2136,130.09,123.19,Accepted
10584,RCV-0010584,11648,2026-01-07,100,Received,RM-0096,102.3697,13.02,13.61,Accepted
12310,RCV-0012310,13552,2026-01-07,300,Received,PC-0083,197.4841,108.5,113.37,Accepted
12454,RCV-0012454,13711,2026-01-07,200,Received,RM-0092,656.435,36.1,35.71,Accepted
12599,RCV-0012599,13870,2026-01-07,200,Received,PC-0074,183.1524,89.36,83.91,Accepted
497,RCV-0000497,545,2026-01-08,200,Received,RM-0131,137.5135,15.86,16.89,Accepted
642,RCV-0000642,704,2026-01-08,300,Received,RM-0008,94.5588,17.59,17.71,Accepted
2373,RCV-0002373,2608,2026-01-08,100,Received,RM-0127,215.551,13.51,13.61,Accepted
