shipment_number,ship_date,carrier,order_number,customer_id,id,shipment_id,sales_order_line_id,item_id,site_code,quantity,unit_standard_cost
SHP-000213,2026-01-01,Roadstar Logistics,SO-000244,CUST-0069,425,213,487,AFT-0016,100,2.0,1691.61
SHP-000213,2026-01-01,Roadstar Logistics,SO-000244,CUST-0069,426,213,488,AFT-0027,300,4.0,328.06
SHP-000785,2026-01-01,Midwest Freight,SO-000905,CUST-0026,1569,785,1809,AFT-0007,100,13.0,295.96
SHP-000785,2026-01-01,Midwest Freight,SO-000905,CUST-0026,1570,785,1810,AFT-0018,300,22.0,583.67
SHP-001871,2026-01-01,Midwest Freight,SO-002161,CUST-0018,3741,1871,4321,ACT-0003,100,55.0,1998.31
SHP-001871,2026-01-01,Midwest Freight,SO-002161,CUST-0018,3742,1871,4322,ACT-0014,200,2.0,544.47
SHP-002766,2026-01-01,ParcelPro,SO-003199,CUST-0144,5531,2766,6397,DRV-0021,100,4.0,1026.04
SHP-002766,2026-01-01,ParcelPro,SO-003199,CUST-0144,5532,2766,6398,DRV-0032,200,9.0,242.87
SHP-003339,2026-01-01,Roadstar Logistics,SO-003860,CUST-0101,6677,3339,7719,DRV-0012,200,22.0,236.26
SHP-003339,2026-01-01,Roadstar Logistics,SO-003860,CUST-0101,6678,3339,7720,DRV-0023,100,33.0,1456.75
SHP-003908,2026-01-01,Midwest Freight,SO-004521,CUST-0058,7815,3908,9041,DRV-0003,100,2.0,1969.66
SHP-003908,2026-01-01,Midwest Freight,SO-004521,CUST-0058,7816,3908,9042,DRV-0014,200,4.0,976.85
SHP-005892,2026-01-01,ParcelPro,SO-006815,CUST-0176,11783,5892,13629,ACT-0027,100,33.0,2777.79
SHP-005892,2026-01-01,ParcelPro,SO-006815,CUST-0176,11784,5892,13630,ACT-0038,200,55.0,422.98
SHP-006463,2026-01-01,Roadstar Logistics,SO-007476,CUST-0133,12925,6463,14951,ACT-0018,200,4.0,1053.86
SHP-006463,2026-01-01,Roadstar Logistics,SO-007476,CUST-0133,12926,6463,14952,ACT-0029,100,9.0,923.26
SHP-007033,2026-01-01,Midwest Freight,SO-008137,CUST-0090,14065,7033,16273,ACT-0009,100,22.0,364.09
SHP-007033,2026-01-01,Midwest Freight,SO-008137,CUST-0090,14066,7033,16274,ACT-0020,200,33.0,626.2
SHP-007930,2026-01-01,ParcelPro,SO-009175,CUST-0216,15859,7930,18349,DRV-0027,100,55.0,1168.75
SHP-007930,2026-01-01,ParcelPro,SO-009175,CUST-0216,15860,7930,18350,DRV-0038,200,2.0,544.32
SHP-008503,2026-01-01,Roadstar Logistics,SO-009836,CUST-0173,17005,8503,19671,DRV-0018,200,9.0,1468.74
SHP-008503,2026-01-01,Roadstar Logistics,SO-009836,CUST-0173,17006,8503,19672,DRV-0029,100,13.0,1617.15
SHP-000893,2026-01-02,Midwest Freight,SO-001029,CUST-0214,1785,893,2057,DRV-0001,100,4.0,1077.99
SHP-000893,2026-01-02,Midwest Freight,SO-001029,CUST-0214,1786,893,2058,DRV-0012,200,9.0,236.26
SHP-001464,2026-01-02,BlueLine Transport,SO-001690,CUST-0171,2927,1464,3379,CTL-0032,300,22.0,1947.94
