id,item_id,site_code,version,effective_from,effective_to,status,approved_by,approved_at
161,ACT-0001,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
162,ACT-0002,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
163,ACT-0003,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
164,ACT-0004,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
165,ACT-0005,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
166,ACT-0006,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
167,ACT-0007,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
168,ACT-0008,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
169,ACT-0009,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
170,ACT-0010,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
171,ACT-0011,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
172,ACT-0012,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
173,ACT-0013,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
174,ACT-0014,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
175,ACT-0015,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
176,ACT-0016,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
177,ACT-0017,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
178,ACT-0018,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
179,ACT-0019,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
180,ACT-0020,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
181,ACT-0021,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
182,ACT-0022,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
183,ACT-0023,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
184,ACT-0024,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
185,ACT-0025,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
186,ACT-0026,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
187,ACT-0027,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
188,ACT-0028,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
189,ACT-0029,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
190,ACT-0030,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
191,ACT-0031,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
192,ACT-0032,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
193,ACT-0033,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
194,ACT-0034,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
195,ACT-0035,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
196,ACT-0036,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
197,ACT-0037,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
198,ACT-0038,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
199,ACT-0039,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
200,ACT-0040,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
201,ACT-0041,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
202,ACT-0042,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
203,ACT-0043,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
204,ACT-0044,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
205,ACT-0045,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
206,ACT-0046,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
207,ACT-0047,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
208,ACT-0048,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
209,ACT-0049,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
210,ACT-0050,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
211,ACT-0051,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
212,ACT-0052,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
213,ACT-0053,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
214,ACT-0054,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
215,ACT-0055,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
216,ACT-0056,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
217,ACT-0057,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
218,ACT-0058,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
219,ACT-0059,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
220,ACT-0060,200,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
291,AFT-0001,100,2026-A,2026-01-01,,Active,EMP-0660,2025-11-20
