id,bom_id,line_number,component_item_id,quantity_per,scrap_factor,issue_operation,cost_relevant
1,1,10,RM-0041,1.9,0.015,10,1
2,1,20,RM-0064,2.95,0.02,10,1
3,1,30,RM-0087,4.0,0.005,10,1
4,1,40,RM-0110,0.85,0.01,10,1
5,2,10,RM-0058,2.25,0.02,10,1
6,2,20,RM-0081,3.3,0.005,10,1
7,2,30,RM-0104,4.35,0.01,10,1
8,2,40,RM-0127,1.2,0.015,10,1
9,2,50,RM-0150,2.25,0.02,10,1
10,3,10,RM-0075,2.6,0.005,10,1
11,3,20,RM-0098,3.65,0.01,10,1
12,3,30,RM-0121,0.5,0.015,10,1
13,3,40,RM-0144,1.55,0.02,10,1
14,3,50,PC-0017,2.6,0.005,10,1
15,3,60,PC-0040,3.65,0.01,10,1
16,4,10,RM-0092,2.95,0.01,10,1
17,4,20,RM-0115,4.0,0.015,10,1
18,4,30,RM-0138,0.85,0.02,10,1
19,5,10,RM-0109,3.3,0.015,10,1
20,5,20,RM-0132,4.35,0.02,10,1
21,5,30,PC-0005,1.2,0.005,10,1
22,5,40,PC-0028,2.25,0.01,10,1
23,6,10,RM-0126,3.65,0.02,10,1
24,6,20,RM-0149,0.5,0.005,10,1
25,6,30,PC-0022,1.55,0.01,10,1
26,6,40,PC-0045,2.6,0.015,10,1
27,6,50,PC-0068,3.65,0.02,10,1
28,7,10,RM-0143,4.0,0.005,10,1
29,7,20,PC-0016,0.85,0.01,10,1
30,7,30,PC-0039,1.9,0.015,10,1
31,7,40,PC-0062,2.95,0.02,10,1
32,7,50,PC-0085,4.0,0.005,10,1
33,7,60,RM-0008,0.85,0.01,10,1
34,8,10,PC-0010,4.35,0.01,10,1
35,8,20,PC-0033,1.2,0.015,10,1
36,8,30,PC-0056,2.25,0.02,10,1
37,9,10,PC-0027,0.5,0.015,10,1
38,9,20,PC-0050,1.55,0.02,10,1
39,9,30,PC-0073,2.6,0.005,10,1
40,9,40,PC-0096,3.65,0.01,10,1
41,10,10,PC-0044,0.85,0.02,10,1
42,10,20,PC-0067,1.9,0.005,10,1
43,10,30,PC-0090,2.95,0.01,10,1
44,10,40,RM-0013,4.0,0.015,10,1
45,10,50,RM-0036,0.85,0.02,10,1
46,11,10,PC-0061,1.2,0.005,10,1
47,11,20,PC-0084,2.25,0.01,10,1
48,11,30,RM-0007,3.3,0.015,10,1
49,11,40,RM-0030,4.35,0.02,10,1
50,11,50,RM-0053,1.2,0.005,10,1
51,11,60,RM-0076,2.25,0.01,10,1
52,12,10,PC-0078,1.55,0.01,10,1
53,12,20,RM-0001,2.6,0.015,10,1
54,12,30,RM-0024,3.65,0.02,10,1
55,13,10,PC-0095,1.9,0.015,10,1
56,13,20,RM-0018,2.95,0.02,10,1
57,13,30,RM-0041,4.0,0.005,10,1
58,13,40,RM-0064,0.85,0.01,10,1
59,14,10,RM-0012,2.25,0.02,10,1
60,14,20,RM-0035,3.3,0.005,10,1
61,14,30,RM-0058,4.35,0.01,10,1
62,14,40,RM-0081,1.2,0.015,10,1
63,14,50,RM-0104,2.25,0.02,10,1
64,15,10,RM-0029,2.6,0.005,10,1
65,15,20,RM-0052,3.65,0.01,10,1
66,15,30,RM-0075,0.5,0.015,10,1
67,15,40,RM-0098,1.55,0.02,10,1
68,15,50,RM-0121,2.6,0.005,10,1
69,15,60,RM-0144,3.65,0.01,10,1
70,16,10,RM-0046,2.95,0.01,10,1
71,16,20,RM-0069,4.0,0.015,10,1
72,16,30,RM-0092,0.85,0.02,10,1
73,17,10,RM-0063,3.3,0.015,10,1
74,17,20,RM-0086,4.35,0.02,10,1
75,17,30,RM-0109,1.2,0.005,10,1
76,17,40,RM-0132,2.25,0.01,10,1
77,18,10,RM-0080,3.65,0.02,10,1
78,18,20,RM-0103,0.5,0.005,10,1
79,18,30,RM-0126,1.55,0.01,10,1
80,18,40,RM-0149,2.6,0.015,10,1
81,18,50,PC-0022,3.65,0.02,10,1
82,19,10,RM-0097,4.0,0.005,10,1
83,19,20,RM-0120,0.85,0.01,10,1
84,19,30,RM-0143,1.9,0.015,10,1
85,19,40,PC-0016,2.95,0.02,10,1
86,19,50,PC-0039,4.0,0.005,10,1
87,19,60,PC-0062,0.85,0.01,10,1
88,20,10,RM-0114,4.35,0.01,10,1
89,20,20,RM-0137,1.2,0.015,10,1
90,20,30,PC-0010,2.25,0.02,10,1
91,21,10,RM-0131,0.5,0.015,10,1
92,21,20,PC-0004,1.55,0.02,10,1
93,21,30,PC-0027,2.6,0.005,10,1
94,21,40,PC-0050,3.65,0.01,10,1
95,22,10,RM-0148,0.85,0.02,10,1
96,22,20,PC-0021,1.9,0.005,10,1
97,22,30,PC-0044,2.95,0.01,10,1
98,22,40,PC-0067,4.0,0.015,10,1
99,22,50,PC-0090,0.85,0.02,10,1
100,23,10,PC-0015,1.2,0.005,10,1
101,23,20,PC-0038,2.25,0.01,10,1
102,23,30,PC-0061,3.3,0.015,10,1
103,23,40,PC-0084,4.35,0.02,10,1
104,23,50,RM-0007,1.2,0.005,10,1
105,23,60,RM-0030,2.25,0.01,10,1
106,24,10,PC-0032,1.55,0.01,10,1
107,24,20,PC-0055,2.6,0.015,10,1
108,24,30,PC-0078,3.65,0.02,10,1
109,25,10,PC-0049,1.9,0.015,10,1
110,25,20,PC-0072,2.95,0.02,10,1
111,25,30,PC-0095,4.0,0.005,10,1
112,25,40,RM-0018,0.85,0.01,10,1
113,26,10,PC-0066,2.25,0.02,10,1
114,26,20,PC-0089,3.3,0.005,10,1
115,26,30,RM-0012,4.35,0.01,10,1
116,26,40,RM-0035,1.2,0.015,10,1
117,26,50,RM-0058,2.25,0.02,10,1
118,27,10,PC-0083,2.6,0.005,10,1
119,27,20,RM-0006,3.65,0.01,10,1
120,27,30,RM-0029,0.5,0.015,10,1
121,27,40,RM-0052,1.55,0.02,10,1
122,27,50,RM-0075,2.6,0.005,10,1
123,27,60,RM-0098,3.65,0.01,10,1
124,28,10,PC-0100,2.95,0.01,10,1
125,28,20,RM-0023,4.0,0.015,10,1
126,28,30,RM-0046,0.85,0.02,10,1
127,29,10,RM-0017,3.3,0.015,10,1
128,29,20,RM-0040,4.35,0.02,10,1
129,29,30,RM-0063,1.2,0.005,10,1
130,29,40,RM-0086,2.25,0.01,10,1
131,30,10,RM-0034,3.65,0.02,10,1
132,30,20,RM-0057,0.5,0.005,10,1
133,30,30,RM-0080,1.55,0.01,10,1
134,30,40,RM-0103,2.6,0.015,10,1
135,30,50,RM-0126,3.65,0.02,10,1
136,31,10,RM-0051,4.0,0.005,10,1
137,31,20,RM-0074,0.85,0.01,10,1
138,31,30,RM-0097,1.9,0.015,10,1
139,31,40,RM-0120,2.95,0.02,10,1
140,31,50,RM-0143,4.0,0.005,10,1
141,31,60,PC-0016,0.85,0.01,10,1
142,32,10,RM-0068,4.35,0.01,10,1
143,32,20,RM-0091,1.2,0.015,10,1
144,32,30,RM-0114,2.25,0.02,10,1
145,33,10,RM-0085,0.5,0.015,10,1
146,33,20,RM-0108,1.55,0.02,10,1
147,33,30,RM-0131,2.6,0.005,10,1
148,33,40,PC-0004,3.65,0.01,10,1
149,34,10,RM-0102,0.85,0.02,10,1
150,34,20,RM-0125,1.9,0.005,10,1
151,34,30,RM-0148,2.95,0.01,10,1
152,34,40,PC-0021,4.0,0.015,10,1
153,34,50,PC-0044,0.85,0.02,10,1
154,35,10,RM-0119,1.2,0.005,10,1
155,35,20,RM-0142,2.25,0.01,10,1
156,35,30,PC-0015,3.3,0.015,10,1
157,35,40,PC-0038,4.35,0.02,10,1
158,35,50,PC-0061,1.2,0.005,10,1
159,35,60,PC-0084,2.25,0.01,10,1
160,36,10,RM-0136,1.55,0.01,10,1
161,36,20,PC-0009,2.6,0.015,10,1
162,36,30,PC-0032,3.65,0.02,10,1
163,37,10,PC-0003,1.9,0.015,10,1
164,37,20,PC-0026,2.95,0.02,10,1
165,37,30,PC-0049,4.0,0.005,10,1
166,37,40,PC-0072,0.85,0.01,10,1
167,38,10,PC-0020,2.25,0.02,10,1
168,38,20,PC-0043,3.3,0.005,10,1
169,38,30,PC-0066,4.35,0.01,10,1
170,38,40,PC-0089,1.2,0.015,10,1
171,38,50,RM-0012,2.25,0.02,10,1
172,39,10,PC-0037,2.6,0.005,10,1
173,39,20,PC-0060,3.65,0.01,10,1
174,39,30,PC-0083,0.5,0.015,10,1
175,39,40,RM-0006,1.55,0.02,10,1
176,39,50,RM-0029,2.6,0.005,10,1
177,39,60,RM-0052,3.65,0.01,10,1
178,40,10,PC-0054,2.95,0.01,10,1
179,40,20,PC-0077,4.0,0.015,10,1
180,40,30,PC-0100,0.85,0.02,10,1
181,41,10,PC-0071,3.3,0.015,10,1
182,41,20,PC-0094,4.35,0.02,10,1
183,41,30,RM-0017,1.2,0.005,10,1
184,41,40,RM-0040,2.25,0.01,10,1
185,42,10,PC-0088,3.65,0.02,10,1
186,42,20,RM-0011,0.5,0.005,10,1
187,42,30,RM-0034,1.55,0.01,10,1
188,42,40,RM-0057,2.6,0.015,10,1
189,42,50,RM-0080,3.65,0.02,10,1
190,43,10,RM-0005,4.0,0.005,10,1
191,43,20,RM-0028,0.85,0.01,10,1
192,43,30,RM-0051,1.9,0.015,10,1
193,43,40,RM-0074,2.95,0.02,10,1
194,43,50,RM-0097,4.0,0.005,10,1
195,43,60,RM-0120,0.85,0.01,10,1
196,44,10,RM-0022,4.35,0.01,10,1
197,44,20,RM-0045,1.2,0.015,10,1
198,44,30,RM-0068,2.25,0.02,10,1
199,45,10,RM-0039,0.5,0.015,10,1
200,45,20,RM-0062,1.55,0.02,10,1
201,45,30,RM-0085,2.6,0.005,10,1
202,45,40,RM-0108,3.65,0.01,10,1
203,46,10,RM-0056,0.85,0.02,10,1
204,46,20,RM-0079,1.9,0.005,10,1
205,46,30,RM-0102,2.95,0.01,10,1
206,46,40,RM-0125,4.0,0.015,10,1
207,46,50,RM-0148,0.85,0.02,10,1
208,47,10,RM-0073,1.2,0.005,10,1
209,47,20,RM-0096,2.25,0.01,10,1
210,47,30,RM-0119,3.3,0.015,10,1
211,47,40,RM-0142,4.35,0.02,10,1
212,47,50,PC-0015,1.2,0.005,10,1
213,47,60,PC-0038,2.25,0.01,10,1
214,48,10,RM-0090,1.55,0.01,10,1
215,48,20,RM-0113,2.6,0.015,10,1
216,48,30,RM-0136,3.65,0.02,10,1
217,49,10,RM-0107,1.9,0.015,10,1
218,49,20,RM-0130,2.95,0.02,10,1
219,49,30,PC-0003,4.0,0.005,10,1
220,49,40,PC-0026,0.85,0.01,10,1
221,50,10,RM-0124,2.25,0.02,10,1
222,50,20,RM-0147,3.3,0.005,10,1
223,50,30,PC-0020,4.35,0.01,10,1
224,50,40,PC-0043,1.2,0.015,10,1
225,50,50,PC-0066,2.25,0.02,10,1
226,51,10,RM-0141,2.6,0.005,10,1
227,51,20,PC-0014,3.65,0.01,10,1
228,51,30,PC-0037,0.5,0.015,10,1
229,51,40,PC-0060,1.55,0.02,10,1
230,51,50,PC-0083,2.6,0.005,10,1
231,51,60,RM-0006,3.65,0.01,10,1
232,52,10,PC-0008,2.95,0.01,10,1
233,52,20,PC-0031,4.0,0.015,10,1
234,52,30,PC-0054,0.85,0.02,10,1
235,53,10,PC-0025,3.3,0.015,10,1
236,53,20,PC-0048,4.35,0.02,10,1
237,53,30,PC-0071,1.2,0.005,10,1
238,53,40,PC-0094,2.25,0.01,10,1
239,54,10,PC-0042,3.65,0.02,10,1
240,54,20,PC-0065,0.5,0.005,10,1
241,54,30,PC-0088,1.55,0.01,10,1
242,54,40,RM-0011,2.6,0.015,10,1
243,54,50,RM-0034,3.65,0.02,10,1
244,55,10,PC-0059,4.0,0.005,10,1
245,55,20,PC-0082,0.85,0.01,10,1
246,55,30,RM-0005,1.9,0.015,10,1
247,55,40,RM-0028,2.95,0.02,10,1
248,55,50,RM-0051,4.0,0.005,10,1
249,55,60,RM-0074,0.85,0.01,10,1
250,56,10,PC-0076,4.35,0.01,10,1
251,56,20,PC-0099,1.2,0.015,10,1
252,56,30,RM-0022,2.25,0.02,10,1
253,57,10,PC-0093,0.5,0.015,10,1
254,57,20,RM-0016,1.55,0.02,10,1
255,57,30,RM-0039,2.6,0.005,10,1
256,57,40,RM-0062,3.65,0.01,10,1
257,58,10,RM-0010,0.85,0.02,10,1
258,58,20,RM-0033,1.9,0.005,10,1
259,58,30,RM-0056,2.95,0.01,10,1
260,58,40,RM-0079,4.0,0.015,10,1
261,58,50,RM-0102,0.85,0.02,10,1
262,59,10,RM-0027,1.2,0.005,10,1
263,59,20,RM-0050,2.25,0.01,10,1
264,59,30,RM-0073,3.3,0.015,10,1
265,59,40,RM-0096,4.35,0.02,10,1
266,59,50,RM-0119,1.2,0.005,10,1
267,59,60,RM-0142,2.25,0.01,10,1
268,60,10,RM-0044,1.55,0.01,10,1
269,60,20,RM-0067,2.6,0.015,10,1
270,60,30,RM-0090,3.65,0.02,10,1
271,61,10,RM-0061,1.9,0.015,10,1
272,61,20,RM-0084,2.95,0.02,10,1
273,61,30,RM-0107,4.0,0.005,10,1
274,61,40,RM-0130,0.85,0.01,10,1
275,62,10,RM-0078,2.25,0.02,10,1
276,62,20,RM-0101,3.3,0.005,10,1
277,62,30,RM-0124,4.35,0.01,10,1
278,62,40,RM-0147,1.2,0.015,10,1
279,62,50,PC-0020,2.25,0.02,10,1
280,63,10,RM-0095,2.6,0.005,10,1
281,63,20,RM-0118,3.65,0.01,10,1
282,63,30,RM-0141,0.5,0.015,10,1
283,63,40,PC-0014,1.55,0.02,10,1
284,63,50,PC-0037,2.6,0.005,10,1
285,63,60,PC-0060,3.65,0.01,10,1
286,64,10,RM-0112,2.95,0.01,10,1
287,64,20,RM-0135,4.0,0.015,10,1
288,64,30,PC-0008,0.85,0.02,10,1
289,65,10,RM-0129,3.3,0.015,10,1
290,65,20,PC-0002,4.35,0.02,10,1
291,65,30,PC-0025,1.2,0.005,10,1
292,65,40,PC-0048,2.25,0.01,10,1
293,66,10,RM-0146,3.65,0.02,10,1
294,66,20,PC-0019,0.5,0.005,10,1
295,66,30,PC-0042,1.55,0.01,10,1
296,66,40,PC-0065,2.6,0.015,10,1
297,66,50,PC-0088,3.65,0.02,10,1
298,67,10,PC-0013,4.0,0.005,10,1
299,67,20,PC-0036,0.85,0.01,10,1
300,67,30,PC-0059,1.9,0.015,10,1
301,67,40,PC-0082,2.95,0.02,10,1
302,67,50,RM-0005,4.0,0.005,10,1
303,67,60,RM-0028,0.85,0.01,10,1
304,68,10,PC-0030,4.35,0.01,10,1
305,68,20,PC-0053,1.2,0.015,10,1
306,68,30,PC-0076,2.25,0.02,10,1
307,69,10,PC-0047,0.5,0.015,10,1
308,69,20,PC-0070,1.55,0.02,10,1
309,69,30,PC-0093,2.6,0.005,10,1
310,69,40,RM-0016,3.65,0.01,10,1
311,70,10,PC-0064,0.85,0.02,10,1
312,70,20,PC-0087,1.9,0.005,10,1
313,70,30,RM-0010,2.95,0.01,10,1
314,70,40,RM-0033,4.0,0.015,10,1
315,70,50,RM-0056,0.85,0.02,10,1
316,71,10,PC-0081,1.2,0.005,10,1
317,71,20,RM-0004,2.25,0.01,10,1
318,71,30,RM-0027,3.3,0.015,10,1
319,71,40,RM-0050,4.35,0.02,10,1
320,71,50,RM-0073,1.2,0.005,10,1
321,71,60,RM-0096,2.25,0.01,10,1
322,72,10,PC-0098,1.55,0.01,10,1
323,72,20,RM-0021,2.6,0.015,10,1
324,72,30,RM-0044,3.65,0.02,10,1
325,73,10,RM-0015,1.9,0.015,10,1
326,73,20,RM-0038,2.95,0.02,10,1
327,73,30,RM-0061,4.0,0.005,10,1
328,73,40,RM-0084,0.85,0.01,10,1
329,74,10,RM-0032,2.25,0.02,10,1
330,74,20,RM-0055,3.3,0.005,10,1
331,74,30,RM-0078,4.35,0.01,10,1
332,74,40,RM-0101,1.2,0.015,10,1
333,74,50,RM-0124,2.25,0.02,10,1
334,75,10,RM-0049,2.6,0.005,10,1
335,75,20,RM-0072,3.65,0.01,10,1
336,75,30,RM-0095,0.5,0.015,10,1
337,75,40,RM-0118,1.55,0.02,10,1
338,75,50,RM-0141,2.6,0.005,10,1
339,75,60,PC-0014,3.65,0.01,10,1
340,76,10,RM-0066,2.95,0.01,10,1
341,76,20,RM-0089,4.0,0.015,10,1
342,76,30,RM-0112,0.85,0.02,10,1
343,77,10,RM-0083,3.3,0.015,10,1
344,77,20,RM-0106,4.35,0.02,10,1
345,77,30,RM-0129,1.2,0.005,10,1
346,77,40,PC-0002,2.25,0.01,10,1
347,78,10,RM-0100,3.65,0.02,10,1
