id,item_id,site_code,version,effective_from,effective_to,status,approved_by,approved_at
161,ACT-0001,100,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
162,ACT-0002,200,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
163,ACT-0003,100,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
164,ACT-0004,200,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
165,ACT-0005,100,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
166,ACT-0006,200,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
167,ACT-0007,100,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
168,ACT-0008,200,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
169,ACT-0009,100,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
170,ACT-0010,200,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
171,ACT-0011,100,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
172,ACT-0012,200,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
173,ACT-0013,100,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
174,ACT-0014,200,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
175,ACT-0015,100,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
176,ACT-0016,200,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
177,ACT-0017,100,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
178,ACT-0018,200,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
179,ACT-0019,100,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
180,ACT-0020,200,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
181,ACT-0021,100,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
182,ACT-0022,200,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
183,ACT-0023,100,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
184,ACT-0024,200,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
185,ACT-0025,100,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
186,ACT-0026,200,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
187,ACT-0027,100,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
188,ACT-0028,200,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
189,ACT-0029,100,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
190,ACT-0030,200,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
191,ACT-0031,100,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
192,ACT-0032,200,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
193,ACT-0033,100,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
194,ACT-0034,200,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
195,ACT-0035,100,2026-A,2026-01-01,,Active,EMP-0661,2025-11-21
