item_id,site_code,warehouse_code,location_code,lot_number,on_hand_quantity,reserved_quantity,quality_hold_quantity,standard_unit_cost,last_movement_date,item_type,product_family
ACT-0001,100,100-FG,100-FG-01,,24.8,4.464,0.0,2375.15,2026-06-12,Finished Good,ACT
ACT-0002,200,200-FG,200-FG-01,,60.8,10.944,0.0,398.44,2026-06-17,Finished Good,ACT
ACT-0003,100,100-FG,100-FG-01,,144.0,25.92,0.0,1998.3,2026-06-18,Finished Good,ACT
ACT-0004,200,200-FG,200-FG-01,,416.0,74.88,0.0,202.91,2026-06-26,Finished Good,ACT
ACT-0005,100,100-FG,100-FG-01,,384.0,69.12,0.0,789.17,2026-06-27,Finished Good,ACT
ACT-0006,200,200-FG,200-FG-01,,4.96,0.8928,0.0,521.36,2026-06-29,Finished Good,ACT
ACT-0007,100,100-FG,100-FG-01,,30.4,5.472,0.0,2766.73,2026-06-13,Finished Good,ACT
ACT-0008,200,200-FG,200-FG-01,,72.0,12.96,0.0,227.79,2026-06-18,Finished Good,ACT
ACT-0009,100,100-FG,100-FG-01,,166.4,29.952,0.0,364.09,2026-06-20,Finished Good,ACT
ACT-0010,200,200-FG,200-FG-01,,192.0,34.56,0.0,2233.37,2026-06-27,Finished Good,ACT
ACT-0011,100,100-FG,100-FG-01,,496.0,89.28,0.0,416.58,2026-06-29,Finished Good,ACT
ACT-0012,200,200-FG,200-FG-01,,6.08,1.0944,0.0,310.46,2026-06-13,Finished Good,ACT
ACT-0013,100,100-FG,100-FG-01,,36.0,6.48,0.0,371.79,2026-06-18,Finished Good,ACT
ACT-0014,200,200-FG,200-FG-01,,83.2,14.976,0.0,544.48,2026-06-20,Finished Good,ACT
ACT-0015,100,100-FG,100-FG-01,,76.8,13.824,0.0,1074.85,2026-06-21,Finished Good,ACT
ACT-0016,200,200-FG,200-FG-01,,248.0,44.64,0.0,217.25,2026-06-29,Finished Good,ACT
ACT-0017,100,100-FG,100-FG-01,,608.0,109.44,0.0,632.55,2026-06-10,Finished Good,ACT
ACT-0018,200,200-FG,200-FG-01,,7.2,1.296,0.0,1053.85,2026-06-15,Finished Good,ACT
ACT-0019,100,100-FG,100-FG-01,,41.6,7.488,0.0,1249.07,2026-06-20,Finished Good,ACT
ACT-0020,200,200-FG,200-FG-01,,38.4,6.912,0.0,626.2,2026-06-21,Finished Good,ACT
ACT-0021,100,100-FG,100-FG-01,,99.2,17.856,0.0,928.12,2026-06-23,Finished Good,ACT
ACT-0022,200,200-FG,200-FG-01,,304.0,54.72,0.0,990.4,2026-06-10,Finished Good,ACT
ACT-0023,100,100-FG,100-FG-01,,720.0,129.6,0.0,2312.23,2026-06-12,Finished Good,ACT
ACT-0024,200,200-FG,200-FG-01,,10.045,1.8081,0.0,1998.43,2026-06-17,Finished Good,ACT
ACT-0025,100,100-FG,100-FG-01,,19.2,3.456,0.0,2796.19,2026-06-21,Finished Good,ACT
ACT-0026,200,200-FG,200-FG-01,,49.6,8.928,0.0,1654.15,2026-06-23,Finished Good,ACT
ACT-0027,100,100-FG,100-FG-01,,121.6,21.888,0.0,2777.78,2026-06-24,Finished Good,ACT
ACT-0028,200,200-FG,200-FG-01,,360.0,64.8,0.0,213.59,2026-06-12,Finished Good,ACT
ACT-0029,100,100-FG,100-FG-01,,832.0,149.76,0.0,923.26,2026-06-17,Finished Good,ACT
ACT-0030,200,200-FG,200-FG-01,,75.345,1.2,0.0,443.77,2026-06-18,Finished Good,ACT
ACT-0031,100,100-FG,100-FG-01,,24.8,4.464,0.0,2523.06,2026-06-23,Finished Good,ACT
ACT-0032,200,200-FG,200-FG-01,,60.8,10.944,0.0,232.68,2026-06-24,Finished Good,ACT
ACT-0033,100,100-FG,100-FG-01,,144.0,25.92,0.0,1322.17,2026-06-09,Finished Good,ACT
ACT-0034,200,200-FG,200-FG-01,,416.0,74.88,0.0,338.7,2026-06-13,Finished Good,ACT
ACT-0035,100,100-FG,100-FG-01,,384.0,69.12,0.0,1963.86,2026-06-18,Finished Good,ACT
ACT-0036,200,200-FG,200-FG-01,,4.96,0.8928,0.0,207.2,2026-06-23,Finished Good,ACT
ACT-0037,100,100-FG,100-FG-01,,30.4,5.472,0.0,3791.35,2026-06-24,Finished Good,ACT
ACT-0038,200,200-FG,200-FG-01,,72.0,12.96,0.0,422.97,2026-06-26,Finished Good,ACT
ACT-0039,100,100-FG,100-FG-01,,166.4,29.952,0.0,759.87,2026-06-10,Finished Good,ACT
ACT-0040,200,200-FG,200-FG-01,,192.0,34.56,0.0,199.82,2026-06-15,Finished Good,ACT
ACT-0041,100,100-FG,100-FG-01,,496.0,89.28,0.0,443.53,2026-06-20,Finished Good,ACT
ACT-0042,200,200-FG,200-FG-01,,111.62,1.9,0.0,643.47,2026-06-24,Finished Good,ACT
ACT-0043,100,100-FG,100-FG-01,,36.0,6.48,0.0,499.76,2026-06-26,Finished Good,ACT
ACT-0044,200,200-FG,200-FG-01,,83.2,14.976,0.0,191.13,2026-06-27,Finished Good,ACT
ACT-0045,100,100-FG,100-FG-01,,76.8,13.824,0.0,311.98,2026-06-12,Finished Good,ACT
ACT-0046,200,200-FG,200-FG-01,,248.0,44.64,0.0,543.39,2026-06-17,Finished Good,ACT
ACT-0047,100,100-FG,100-FG-01,,608.0,109.44,0.0,766.27,2026-06-21,Finished Good,ACT
ACT-0048,200,200-FG,200-FG-01,,7.2,1.296,0.0,383.41,2026-06-26,Finished Good,ACT
ACT-0049,100,100-FG,100-FG-01,,41.6,7.488,0.0,830.29,2026-06-27,Finished Good,ACT
ACT-0050,200,200-FG,200-FG-01,,38.4,6.912,0.0,1066.65,2026-06-29,Finished Good,ACT
ACT-0051,100,100-FG,100-FG-01,,99.2,17.856,0.0,4550.3,2026-06-17,Finished Good,ACT
ACT-0052,200,200-FG,200-FG-01,,304.0,54.72,0.0,646.55,2026-06-21,Finished Good,ACT
ACT-0053,100,100-FG,100-FG-01,,720.0,129.6,0.0,457.7,2026-06-23,Finished Good,ACT
ACT-0054,200,200-FG,200-FG-01,,8.32,1.4976,0.0,3824.58,2026-06-27,Finished Good,ACT
ACT-0055,100,100-FG,100-FG-01,,19.2,3.456,0.0,2134.85,2026-06-29,Finished Good,ACT
ACT-0056,200,200-FG,200-FG-01,,49.6,8.928,0.0,618.58,2026-06-13,Finished Good,ACT
ACT-0057,100,100-FG,100-FG-01,,121.6,21.888,0.0,2621.52,2026-06-18,Finished Good,ACT
ACT-0058,200,200-FG,200-FG-01,,360.0,64.8,0.0,360.6,2026-06-23,Finished Good,ACT
ACT-0059,100,100-FG,100-FG-01,,832.0,149.76,0.0,860.79,2026-06-27,Finished Good,ACT
ACT-0060,200,200-FG,200-FG-01,,3.84,0.6912,0.0,218.01,2026-06-29,Finished Good,ACT
AFT-0001,100,100-FG,100-FG-01,,20.0,3.6,0.0,1725.18,2026-06-30,Aftermarket,AFT
AFT-0001,400,400-FG,400-FG-01,,27.9,5.022,0.0,1725.18,2026-06-30,Aftermarket,AFT
AFT-0002,100,100-FG,100-FG-01,,38.0,6.84,0.0,1635.2,2026-06-12,Aftermarket,AFT
AFT-0002,400,400-FG,400-FG-01,,153.09,19.0,0.0,1635.2,2026-06-12,Aftermarket,AFT
AFT-0003,300,300-FG,300-FG-01,,90.0,16.2,0.0,4514.04,2026-06-17,Aftermarket,AFT
AFT-0003,400,400-FG,400-FG-01,,162.0,29.16,0.0,4514.04,2026-06-17,Aftermarket,AFT
AFT-0004,100,100-FG,100-FG-01,,100.0,10.0,0.0,2143.66,2026-06-22,Aftermarket,AFT
AFT-0004,400,400-FG,400-FG-01,,468.0,84.24,0.0,2143.66,2026-06-22,Aftermarket,AFT
AFT-0005,100,100-FG,100-FG-01,,240.0,43.2,0.0,2334.93,2026-06-26,Aftermarket,AFT
AFT-0005,400,400-FG,400-FG-01,,432.0,77.76,0.0,2334.93,2026-06-26,Aftermarket,AFT
AFT-0006,300,300-FG,300-FG-01,,3.1,0.558,0.0,5754.99,2026-06-30,Aftermarket,AFT
AFT-0006,400,400-FG,400-FG-01,,5.58,1.0044,0.0,5754.99,2026-06-30,Aftermarket,AFT
AFT-0007,100,100-FG,100-FG-01,,20.0,3.6,0.0,295.97,2026-06-29,Aftermarket,AFT
