item_id,site_code,planner_code,buyer_code,lead_time_days,safety_stock,reorder_point,min_order_qty,order_multiple,standard_material_cost,standard_labor_cost,standard_variable_overhead,standard_fixed_overhead,standard_outside_processing,standard_cost_effective_date
ACT-0001,100,PLN-100-02,,10,7.75,10.25,2.0,5.0,2286.44,37.01,13.85,21.03,16.82,2026-01-01
ACT-0002,200,PLN-200-03,,13,19.0,23.0,5.0,10.0,302.9,50.09,18.06,27.39,0.0,2026-01-01
ACT-0003,100,PLN-100-04,,16,45.0,51.0,10.0,20.0,1855.44,57.51,21.78,33.08,30.49,2026-01-01
ACT-0004,200,PLN-200-05,,19,130.0,140.0,25.0,50.0,145.8,30.35,10.64,16.12,0.0,2026-01-01
ACT-0005,100,PLN-100-06,,22,120.0,305.0,50.0,100.0,702.76,35.61,13.14,19.94,17.72,2026-01-01
ACT-0006,200,PLN-200-07,,25,1.55,3.3,1.0,1.0,296.96,120.4,41.37,62.63,0.0,2026-01-01
ACT-0007,100,PLN-100-08,,28,9.5,9.0,2.0,5.0,2651.58,53.26,18.99,28.78,14.12,2026-01-01
ACT-0008,200,PLN-200-01,,31,22.5,20.5,5.0,10.0,210.57,8.78,3.35,5.09,0.0,2026-01-01
ACT-0009,100,PLN-100-02,,34,52.0,46.0,10.0,20.0,317.81,16.35,6.1,9.26,14.57,2026-01-01
ACT-0010,200,PLN-200-03,,37,60.0,127.5,25.0,50.0,2185.07,25.36,9.12,13.82,0.0,2026-01-01
ACT-0011,100,PLN-100-04,,40,155.0,280.0,50.0,100.0,305.2,40.3,15.57,23.67,31.84,2026-01-01
ACT-0012,200,PLN-200-05,,43,1.9,3.05,1.0,1.0,188.21,64.88,22.81,34.56,0.0,2026-01-01
ACT-0013,100,PLN-100-06,,46,11.25,16.5,2.0,5.0,269.03,44.93,16.82,25.54,15.47,2026-01-01
ACT-0014,200,PLN-200-07,,49,26.0,18.0,5.0,10.0,448.18,51.29,17.9,27.11,0.0,2026-01-01
ACT-0015,100,PLN-100-08,,52,24.0,41.0,10.0,20.0,941.91,60.07,21.91,33.24,17.72,2026-01-01
ACT-0016,200,PLN-200-01,,55,77.5,115.0,25.0,50.0,160.21,29.26,11.03,16.75,0.0,2026-01-01
ACT-0017,100,PLN-100-02,,58,190.0,255.0,50.0,100.0,529.02,43.94,16.45,24.97,18.17,2026-01-01
ACT-0018,200,PLN-200-03,,61,2.25,2.8,1.0,1.0,853.81,104.68,37.89,57.47,0.0,2026-01-01
ACT-0019,100,PLN-100-04,,9,13.0,15.25,2.0,5.0,1100.61,57.79,22.8,34.68,33.19,2026-01-01
ACT-0020,200,PLN-200-05,,12,12.0,33.0,5.0,10.0,582.79,22.2,8.42,12.79,0.0,2026-01-01
ACT-0021,100,PLN-100-06,,15,31.0,36.0,10.0,20.0,884.59,15.63,5.83,8.85,13.22,2026-01-01
ACT-0022,200,PLN-200-07,,18,95.0,102.5,25.0,50.0,952.64,20.06,7.04,10.66,0.0,2026-01-01
ACT-0023,100,PLN-100-08,,21,225.0,230.0,50.0,100.0,2234.03,32.67,11.94,18.12,15.47,2026-01-01
ACT-0024,200,PLN-200-01,,24,2.6,2.55,1.0,1.0,1903.5,48.74,18.34,27.85,0.0,2026-01-01
ACT-0025,100,PLN-100-02,,27,6.0,14.0,2.0,5.0,2708.94,36.72,13.74,20.87,15.92,2026-01-01
ACT-0026,200,PLN-200-03,,30,15.5,30.5,5.0,10.0,1567.28,45.55,16.42,24.9,0.0,2026-01-01
