id,invoice_number,customer_id,sales_order_id,invoice_date,due_date,status,amount,open_amount,journal_id
5134,INV-0005134,CUST-0198,5941,2026-05-20,2026-06-19,Open,115672.92,115672.92,10436
6792,INV-0006792,CUST-0147,7858,2026-05-20,2026-06-19,Open,290527.56,290527.56,13716
6387,INV-0006387,CUST-0060,7387,2026-05-21,2026-06-20,Open,25872.1,25872.1,12915
3369,INV-0003369,CUST-0216,3895,2026-05-22,2026-06-21,Open,147135.91,147135.91,6942
7635,INV-0007635,CUST-0162,8833,2026-05-22,2026-06-21,Open,7350.95,7350.95,15385
8535,INV-0008535,CUST-0048,9871,2026-05-22,2026-06-21,Open,40650.85,40650.85,17164
409,INV-0000409,CUST-0054,469,2026-05-23,2026-06-22,Open,48367.26,48367.26,1086
2066,INV-0002066,CUST-0003,2386,2026-05-23,2026-06-22,Open,10920.75,10920.75,4363
7229,INV-0007229,CUST-0075,8362,2026-05-23,2026-06-22,Open,79927.66,79927.66,14582
1660,INV-0001660,CUST-0156,1915,2026-05-24,2026-06-23,Open,170622.68,170622.68,3562
4211,INV-0004211,CUST-0231,4870,2026-05-24,2026-06-23,Open,50434.46,50434.46,8610
6819,INV-0006819,CUST-0228,7891,2026-05-24,2026-06-23,Open,28983.86,28983.86,13769
2907,INV-0002907,CUST-0018,3361,2026-05-25,2026-06-24,Open,54869.19,54869.19,6029
3805,INV-0003805,CUST-0144,4399,2026-05-25,2026-06-24,Open,198223.74,198223.74,7804
8071,INV-0008071,CUST-0090,9337,2026-05-25,2026-06-24,Open,5788.68,5788.68,16246
5053,INV-0005053,CUST-0006,5845,2026-05-26,2026-06-25,Open,51003.06,51003.06,10276
7663,INV-0007663,CUST-0003,8866,2026-05-26,2026-06-25,Open,143566.33,143566.33,15440
2093,INV-0002093,CUST-0084,2419,2026-05-27,2026-06-26,Open,151704.96,151704.96,4416
4646,INV-0004646,CUST-0159,5374,2026-05-27,2026-06-26,Open,55083.85,55083.85,9469
3344,INV-0003344,CUST-0186,3865,2026-05-28,2026-06-27,Open,30604.25,30604.25,6893
4238,INV-0004238,CUST-0072,4903,2026-05-28,2026-06-27,Open,36959.57,36959.57,8663
8508,INV-0008508,CUST-0018,9841,2026-05-28,2026-06-27,Open,3855.78,3855.78,17111
325,INV-0000325,CUST-0102,373,2026-05-29,2026-06-28,Open,28068.84,28068.84,920
2935,INV-0002935,CUST-0099,3394,2026-05-29,2026-06-28,Open,18306.4,18306.4,6084
5487,INV-0005487,CUST-0174,6349,2026-05-29,2026-06-28,Open,11814.34,11814.34,11134
5081,INV-0005081,CUST-0087,5878,2026-05-30,2026-06-29,Open,83247.51,83247.51,10331
6739,INV-0006739,CUST-0036,7795,2026-05-30,2026-06-29,Open,229162.95,229162.95,13611
4674,INV-0004674,CUST-0240,5407,2026-05-31,2026-06-30,Open,81014.33,81014.33,9524
762,INV-0000762,CUST-0030,877,2026-06-01,2026-07-01,Open,110208.79,110208.79,1784
5923,INV-0005923,CUST-0102,6853,2026-06-01,2026-07-01,Open,44437.76,44437.76,11996
7581,INV-0007581,CUST-0051,8770,2026-06-01,2026-07-01,Open,21430.9,21430.9,15279
355,INV-0000355,CUST-0183,406,2026-06-02,2026-07-02,Open,17046.02,17046.02,979
2012,INV-0002012,CUST-0132,2323,2026-06-02,2026-07-02,Open,8974.11,8974.11,4257
5515,INV-0005515,CUST-0015,6382,2026-06-02,2026-07-02,Open,78328.91,78328.91,11189
7173,INV-0007173,CUST-0204,8299,2026-06-02,2026-07-02,Open,173880.96,173880.96,14471
8424,INV-0008424,CUST-0066,9745,2026-06-03,2026-07-03,Open,31965.74,31965.74,16945
1196,INV-0001196,CUST-0198,1381,2026-06-04,2026-07-04,Open,77203.85,77203.85,2642
2013,INV-0002013,CUST-0166,2325,2026-05-20,2026-07-04,Open,31107.79,31107.79,4258
3669,INV-0003669,CUST-0115,4242,2026-05-20,2026-07-04,Open,39955.35,39955.35,7536
6222,INV-0006222,CUST-0190,7197,2026-05-20,2026-07-04,Open,60900.84,60900.84,12589
6360,INV-0006360,CUST-0030,7357,2026-06-04,2026-07-04,Open,9154.3,9154.3,12862
8016,INV-0008016,CUST-0219,9274,2026-06-04,2026-07-04,Open,5570.02,5570.02,16138
