id,po_number,vendor_id,site_code,order_date,expected_date,buyer_employee_id,status,currency,line_number,item_id,order_quantity,received_quantity,unit_price
751,PO-000751,VEND-0044,100,2026-05-07,2026-06-19,EMP-0591,Open,USD,10,RM-0031,532.9517,0.0,10.68
2060,PO-002060,VEND-0141,200,2026-05-18,2026-06-19,EMP-0580,Open,USD,10,RM-0094,43.6617,0.0,11.46
3369,PO-003369,VEND-0107,100,2026-05-29,2026-06-19,EMP-0569,Open,USD,10,PC-0022,407.371,0.0,111.62
3407,PO-003407,VEND-0059,300,2026-04-21,2026-06-19,EMP-0607,Open,USD,10,RM-0046,459.5762,0.0,23.27
4678,PO-004678,VEND-0002,200,2026-06-09,2026-06-19,EMP-0618,Open,USD,10,PC-0097,241.703,0.0,55.25
4716,PO-004716,VEND-0030,300,2026-05-02,2026-06-19,EMP-0596,Open,USD,10,RM-0113,149.8283,0.0,27.33
6025,PO-006025,VEND-0026,300,2026-05-13,2026-06-19,EMP-0585,Open,USD,10,PC-0042,271.8204,0.0,80.08
7334,PO-007334,VEND-0016,100,2026-05-24,2026-06-19,EMP-0574,Open,USD,10,RM-0015,479.7553,0.0,23.27
8643,PO-008643,VEND-0102,200,2026-06-04,2026-06-19,EMP-0563,Open,USD,10,RM-0077,256.3778,0.0,23.27
8681,PO-008681,VEND-0100,300,2026-04-27,2026-06-19,EMP-0601,Open,USD,10,PC-0063,211.5921,0.0,49.3
9990,PO-009990,VEND-0091,200,2026-05-08,2026-06-19,EMP-0590,Open,USD,10,RM-0031,334.511,0.0,11.48
11299,PO-011299,VEND-0143,300,2026-05-19,2026-06-19,EMP-0579,Open,USD,10,RM-0094,42.875,0.0,12.33
12608,PO-012608,VEND-0107,200,2026-05-30,2026-06-19,EMP-0568,Open,USD,10,PC-0022,31.5564,0.0,120.02
12646,PO-012646,VEND-0072,100,2026-04-22,2026-06-19,EMP-0606,Open,USD,10,RM-0047,305.0683,0.0,25.83
13917,PO-013917,VEND-0002,300,2026-06-10,2026-06-19,EMP-0617,Open,USD,10,PC-0097,145.1103,0.0,59.4
13955,PO-013955,VEND-0156,300,2026-05-03,2026-06-19,EMP-0595,Open,USD,10,RM-0114,571.9653,0.0,30.18
355,PO-000355,VEND-0116,300,2026-05-19,2026-06-20,EMP-0615,Open,USD,10,RM-0007,468.3612,0.0,17.99
1664,PO-001664,VEND-0011,200,2026-05-30,2026-06-20,EMP-0604,Open,USD,10,RM-0070,391.7742,0.0,18.86
