order_number,customer_id,promised_ship_date,id,sales_order_id,line_number,item_id,site_code,order_quantity,shipped_quantity,unit_price,discount_percent,standard_unit_cost,status
SO-000533,CUST-0182,2026-06-13,1065,533,10,ACT-0035,100,9.0,0.0,2913.74,0.05,1963.86,Open
SO-000533,CUST-0182,2026-06-13,1066,533,20,ACT-0046,200,13.0,0.0,820.83,0.0,543.39,Open
SO-001789,CUST-0174,2026-06-13,3577,1789,10,SYS-0001,100,33.0,0.0,788.73,0.0,484.28,Open
SO-001789,CUST-0174,2026-06-13,3578,1789,20,SYS-0012,300,55.0,0.0,766.76,0.0,544.4,Open
SO-002450,CUST-0131,2026-06-13,4899,2450,10,DRV-0052,200,4.0,0.0,1926.01,0.0,1298.13,Open
SO-002450,CUST-0131,2026-06-13,4900,2450,20,SYS-0003,100,9.0,0.0,1193.32,0.02,789.98,Open
SO-004149,CUST-0214,2026-06-13,8297,4149,10,CTL-0011,300,55.0,0.0,4078.68,0.0,2846.92,Open
SO-004149,CUST-0214,2026-06-13,8298,4149,20,CTL-0022,300,2.0,0.0,3017.67,0.0,2070.12,Open
SO-004810,CUST-0171,2026-06-13,9619,4810,10,CTL-0002,300,9.0,0.0,1691.57,0.0,1099.52,Open
SO-004810,CUST-0171,2026-06-13,9620,4810,20,CTL-0013,300,13.0,0.0,422.63,0.02,269.64,Open
SO-006066,CUST-0163,2026-06-13,12131,6066,10,ACT-0058,200,33.0,0.0,516.63,0.02,360.61,Open
SO-006066,CUST-0163,2026-06-13,12132,6066,20,AFT-0009,300,55.0,0.0,907.81,0.035,622.76,Open
SO-007765,CUST-0006,2026-06-13,15529,7765,10,SYS-0007,100,13.0,0.0,1465.91,0.0,900.07,Open
SO-007765,CUST-0006,2026-06-13,15530,7765,20,SYS-0018,300,22.0,0.0,889.3,0.02,631.4,Open
SO-008426,CUST-0203,2026-06-13,16851,8426,10,DRV-0058,200,55.0,0.0,3006.94,0.02,2026.68,Open
SO-008426,CUST-0203,2026-06-13,16852,8426,20,SYS-0009,100,2.0,0.0,830.92,0.035,550.07,Open
SO-000280,CUST-0201,2026-06-14,559,280,10,DRV-0032,200,4.0,0.0,354.04,0.0,242.87,Open
SO-000280,CUST-0201,2026-06-14,560,280,20,DRV-0043,100,9.0,0.0,863.03,0.02,581.68,Open
SO-001318,CUST-0087,2026-06-14,2635,1318,10,AFT-0060,300,13.0,0.0,587.42,0.05,381.82,Open
SO-001318,CUST-0087,2026-06-14,2636,1318,20,CTL-0011,300,22.0,0.0,4462.26,0.0,2846.92,Open
SO-001979,CUST-0044,2026-06-14,3957,1979,10,AFT-0051,300,55.0,0.0,1892.69,0.0,1343.81,Open
SO-001979,CUST-0044,2026-06-14,3958,1979,20,CTL-0002,300,2.0,0.0,1575.24,0.0,1099.52,Open
SO-002640,CUST-0001,2026-06-14,5279,2640,10,AFT-0042,300,9.0,0.0,452.01,0.0,299.23,Open
SO-002640,CUST-0001,2026-06-14,5280,2640,20,AFT-0053,100,13.0,0.0,746.14,0.02,484.99,Open
SO-003678,CUST-0127,2026-06-14,7355,3678,10,ACT-0030,200,22.0,0.0,708.9,0.05,443.77,Open
SO-003678,CUST-0127,2026-06-14,7356,3678,20,ACT-0041,100,33.0,0.0,722.36,0.0,443.53,Open
SO-003896,CUST-0233,2026-06-14,7791,3896,10,ACT-0038,200,33.0,0.0,595.75,0.02,422.98,Open
SO-003896,CUST-0233,2026-06-14,7792,3896,20,ACT-0049,100,55.0,0.0,1189.54,0.035,830.3,Open
SO-004934,CUST-0119,2026-06-14,9867,4934,10,DRV-0056,200,2.0,0.0,4440.89,0.0,2993.16,Open
SO-004934,CUST-0119,2026-06-14,9868,4934,20,SYS-0007,100,4.0,0.0,1359.62,0.0,900.07,Open
SO-005595,CUST-0076,2026-06-14,11189,5595,10,DRV-0047,100,13.0,0.0,5966.65,0.0,3735.12,Open
SO-005595,CUST-0076,2026-06-14,11190,5595,20,DRV-0058,200,22.0,0.0,3300.78,0.02,2026.68,Open
SO-006256,CUST-0033,2026-06-14,12511,6256,10,DRV-0038,200,55.0,0.0,793.47,0.02,544.32,Open
SO-006256,CUST-0033,2026-06-14,12512,6256,20,DRV-0049,100,2.0,0.0,1780.1,0.035,1199.79,Open
SO-007294,CUST-0159,2026-06-14,14587,7294,10,CTL-0006,300,4.0,0.0,2474.46,0.0,1608.4,Open
SO-007294,CUST-0159,2026-06-14,14588,7294,20,CTL-0017,300,9.0,0.0,385.99,0.0,246.26,Open
SO-007955,CUST-0116,2026-06-14,15909,7955,10,AFT-0057,300,22.0,0.0,871.27,0.0,618.6,Open
SO-007955,CUST-0116,2026-06-14,15910,7955,20,CTL-0008,300,33.0,0.0,1018.34,0.02,710.8,Open
SO-009211,CUST-0108,2026-06-14,18421,9211,10,ACT-0053,100,2.0,0.0,704.17,0.02,457.71,Open
SO-009211,CUST-0108,2026-06-14,18422,9211,20,AFT-0004,100,4.0,0.0,3359.95,0.035,2143.65,Open
SO-009872,CUST-0065,2026-06-14,19743,9872,10,ACT-0044,200,13.0,0.0,269.2,0.035,191.13,Open
SO-009872,CUST-0065,2026-06-14,19744,9872,20,ACT-0055,100,22.0,0.0,3058.52,0.05,2134.85,Open
SO-000847,CUST-0240,2026-06-15,1693,847,10,ACT-0019,100,4.0,0.0,1820.79,0.035,1249.06,Open
SO-000847,CUST-0240,2026-06-15,1694,847,20,ACT-0030,200,9.0,0.0,658.41,0.05,443.77,Open
SO-001508,CUST-0197,2026-06-15,3015,1508,10,ACT-0010,200,22.0,0.0,3500.58,0.05,2233.37,Open
