id,invoice_number,vendor_id,po_id,invoice_date,due_date,status,amount,open_amount,match_status,journal_id
2631,VI-0002631,VEND-0033,2891,2026-05-20,2026-06-19,Open,16398.76,16398.76,Matched,22552
5226,VI-0005226,VEND-0039,5746,2026-05-20,2026-06-19,Open,19076.02,19076.02,Matched,27663
5620,VI-0005620,VEND-0018,6182,2026-05-20,2026-06-19,Open,16761.91,16761.91,Matched,28438
7820,VI-0007820,VEND-0162,8601,2026-05-20,2026-06-19,Open,1904.6,1904.6,Matched,32763
2270,VI-0002270,VEND-0036,2495,2026-05-21,2026-06-20,Open,7027.37,7027.37,Matched,21844
5262,VI-0005262,VEND-0066,5786,2026-05-21,2026-06-20,Open,2615.41,2615.41,Matched,27733
7063,VI-0007063,VEND-0057,7769,2026-05-21,2026-06-20,Open,14349.64,14349.64,Matched,31276
4108,VI-0004108,VEND-0054,4518,2026-05-22,2026-06-21,Open,3201.3,3201.3,Matched,25464
4505,VI-0004505,VEND-0174,4954,2026-05-22,2026-06-21,Open,4264.75,4264.75,Matched,26246
4900,VI-0004900,VEND-0051,5390,2026-05-22,2026-06-21,Open,21245.45,21245.45,Matched,27021
5440,VI-0005440,VEND-0027,5983,2026-05-22,2026-06-21,Open,742.95,742.95,Matched,28083
6703,VI-0006703,VEND-0027,7373,2026-05-22,2026-06-21,Open,12909.68,12909.68,Matched,30569
10230,VI-0010230,VEND-0105,11257,2026-05-22,2026-06-21,Open,23361.46,23361.46,Matched,37511
288,VI-0000288,VEND-0048,313,2026-05-23,2026-06-22,Open,2626.64,2626.64,Matched,17945
4684,VI-0004684,VEND-0135,5151,2026-05-23,2026-06-22,Open,7414.76,7414.76,Matched,26597
5080,VI-0005080,VEND-0102,5587,2026-05-23,2026-06-22,Open,10817.87,10817.87,Matched,27374
7278,VI-0007278,VEND-0141,8006,2026-05-23,2026-06-22,Open,16692.44,16692.44,Matched,31698
6918,VI-0006918,VEND-0111,7610,2026-05-24,2026-06-23,Open,6233.7,6233.7,Matched,30992
9114,VI-0009114,VEND-0120,10029,2026-05-24,2026-06-23,Open,28575.34,28575.34,Matched,35312
6164,VI-0006164,VEND-0117,6778,2026-05-25,2026-06-24,Open,4160.24,4160.24,Matched,29508
7495,VI-0007495,VEND-0156,8243,2026-05-25,2026-06-24,Open,13425.12,13425.12,Matched,32123
9692,VI-0009692,VEND-0015,10662,2026-05-25,2026-06-24,Open,12396.11,12396.11,Matched,36450
12280,VI-0012280,VEND-0138,13517,2026-05-25,2026-06-24,Open,6815.6,6815.6,Matched,41544
2342,VI-0002342,VEND-0150,2573,2026-05-26,2026-06-25,Open,5440.13,5440.13,Matched,21986
3604,VI-0003604,VEND-0126,3963,2026-05-26,2026-06-25,Open,9649.26,9649.26,Matched,24470
8935,VI-0008935,VEND-0171,9830,2026-05-26,2026-06-25,Open,4615.04,4615.04,Matched,34961
11920,VI-0011920,VEND-0147,13121,2026-05-26,2026-06-25,Open,3622.7,3622.7,Matched,40835
11166,VI-0011166,VEND-0003,12289,2026-05-27,2026-06-26,Open,41988.22,41988.22,Matched,39352
11559,VI-0011559,VEND-0006,12725,2026-05-27,2026-06-26,Open,7178.38,7178.38,Matched,40126
6414,VI-0006414,VEND-0096,7055,2026-05-28,2026-06-27,Open,38791.27,38791.27,Matched,30001
8215,VI-0008215,VEND-0039,9038,2026-05-28,2026-06-27,Open,7912.16,7912.16,Matched,33542
10410,VI-0010410,VEND-0048,11457,2026-05-28,2026-06-27,Open,71840.09,71840.09,Matched,37865
1261,VI-0001261,VEND-0006,1385,2026-05-29,2026-06-28,Open,25569.48,25569.48,Matched,19858
3998,VI-0003998,VEND-0132,4397,2026-05-29,2026-06-28,Open,4872.97,4872.97,Matched,25248
5263,VI-0005263,VEND-0081,5787,2026-05-29,2026-06-28,Open,11881.96,11881.96,Matched,27734
8252,VI-0008252,VEND-0066,9078,2026-05-29,2026-06-28,Open,5831.61,5831.61,Matched,33615
13578,VI-0013578,VEND-0066,14945,2026-05-29,2026-06-28,Open,34026.61,34026.61,Matched,44098
8430,VI-0008430,VEND-0156,9275,2026-05-30,2026-06-29,Open,395.08,395.08,Matched,33965
10625,VI-0010625,VEND-0093,11694,2026-05-30,2026-06-29,Open,9115.27,9115.27,Matched,38289
2884,VI-0002884,VEND-0147,3169,2026-05-31,2026-06-30,Open,3407.34,3407.34,Matched,23050
3277,VI-0003277,VEND-0066,3605,2026-05-31,2026-06-30,Open,23930.21,23930.21,Matched,23826
8071,VI-0008071,VEND-0102,8879,2026-05-31,2026-06-30,Open,18826.92,18826.92,Matched,33257
12856,VI-0012856,VEND-0045,14153,2026-05-31,2026-06-30,Open,3595.81,3595.81,Matched,42676
7316,VI-0007316,VEND-0003,8047,2026-06-01,2026-07-01,Open,10347.47,10347.47,Matched,31772
7713,VI-0007713,VEND-0111,8483,2026-06-01,2026-07-01,Open,47322.74,47322.74,Matched,32553
10303,VI-0010303,VEND-0015,11338,2026-06-01,2026-07-01,Open,43166.81,43166.81,Matched,37654
12496,VI-0012496,VEND-0054,13757,2026-06-01,2026-07-01,Open,4428.88,4428.88,Matched,41968
12640,VI-0012640,VEND-0072,13914,2026-06-01,2026-07-01,Open,40581.96,40581.96,Matched,42251
3099,VI-0003099,VEND-0057,3406,2026-06-02,2026-07-02,Open,17419.71,17419.71,Matched,23475
3495,VI-0003495,VEND-0024,3842,2026-06-02,2026-07-02,Open,15105.19,15105.19,Matched,24256
5297,VI-0005297,VEND-0126,5825,2026-06-02,2026-07-02,Open,11873.67,11873.67,Matched,27801
5692,VI-0005692,VEND-0063,6261,2026-06-02,2026-07-02,Open,10013.06,10013.06,Matched,28579
7352,VI-0007352,VEND-0081,8087,2026-06-02,2026-07-02,Open,20399.5,20399.5,Matched,31843
10087,VI-0010087,VEND-0150,11099,2026-06-02,2026-07-02,Open,8534.18,8534.18,Matched,37229
12281,VI-0012281,VEND-0042,13518,2026-06-02,2026-07-02,Open,26612.53,26612.53,Matched,41545
13073,VI-0013073,VEND-0051,14390,2026-06-02,2026-07-02,Open,5623.73,5623.73,Matched,43104
144,VI-0000144,VEND-0036,155,2026-06-03,2026-07-03,Open,11245.36,11245.36,Matched,17661
540,VI-0000540,VEND-0021,591,2026-06-03,2026-07-03,Open,5630.3,5630.3,Matched,18439
1803,VI-0001803,VEND-0072,1981,2026-06-03,2026-07-03,Open,6618.7,6618.7,Matched,20925
4936,VI-0004936,VEND-0030,5429,2026-06-03,2026-07-03,Open,2585.89,2585.89,Matched,27091
1983,VI-0001983,VEND-0033,2178,2026-06-04,2026-07-04,Open,5010.85,5010.85,Matched,21278
2776,VI-0002776,VEND-0051,3050,2026-06-04,2026-07-04,Open,6834.29,6834.29,Matched,22838
3028,VI-0003028,VEND-0013,3327,2026-05-20,2026-07-04,Open,70838.35,70838.35,Matched,23334
4827,VI-0004827,VEND-0091,5310,2026-05-20,2026-07-04,Open,5914.8,5914.8,Matched,26880
4972,VI-0004972,VEND-0018,5469,2026-06-04,2026-07-04,Open,9307.41,9307.41,Matched,27162
9763,VI-0009763,VEND-0174,10743,2026-06-04,2026-07-04,Open,18773.94,18773.94,Matched,36589
11957,VI-0011957,VEND-0111,13162,2026-06-04,2026-07-04,Open,4663.64,4663.64,Matched,40907
12208,VI-0012208,VEND-0004,13439,2026-05-20,2026-07-04,Open,3352.65,3352.65,Matched,41402
12604,VI-0012604,VEND-0016,13875,2026-05-20,2026-07-04,Open,12401.54,12401.54,Matched,42181
2019,VI-0002019,VEND-0048,2218,2026-06-05,2026-07-05,Open,49942.08,49942.08,Matched,21349
7460,VI-0007460,VEND-0106,8205,2026-05-21,2026-07-05,Open,11254.88,11254.88,Matched,32055
7748,VI-0007748,VEND-0165,8521,2026-06-05,2026-07-05,Open,6174.5,6174.5,Matched,32622
9009,VI-0009009,VEND-0180,9911,2026-06-05,2026-07-05,Open,47826.2,47826.2,Matched,35105
11849,VI-0011849,VEND-0013,13043,2026-05-21,2026-07-05,Open,2043.99,2043.99,Matched,40696
12244,VI-0012244,VEND-0172,13479,2026-05-21,2026-07-05,Open,10676.32,10676.32,Matched,41473
251,VI-0000251,VEND-0151,273,2026-05-22,2026-07-06,Open,9926.66,9926.66,Matched,17873
647,VI-0000647,VEND-0154,709,2026-05-22,2026-07-06,Open,8340.22,8340.22,Matched,18652
1262,VI-0001262,VEND-0015,1386,2026-06-06,2026-07-06,Open,40636.5,40636.5,Matched,19859
2306,VI-0002306,VEND-0016,2535,2026-05-22,2026-07-06,Open,49524.39,49524.39,Matched,21915
3857,VI-0003857,VEND-0174,4241,2026-06-06,2026-07-06,Open,5904.46,5904.46,Matched,24970
4791,VI-0004791,VEND-0111,5270,2026-06-06,2026-07-06,Open,492.54,492.54,Matched,26809
5044,VI-0005044,VEND-0061,5547,2026-05-22,2026-07-06,Open,11107.26,11107.26,Matched,27303
7243,VI-0007243,VEND-0172,7966,2026-05-22,2026-07-06,Open,21910.46,21910.46,Matched,31630
8649,VI-0008649,VEND-0036,9515,2026-06-06,2026-07-06,Open,18003.51,18003.51,Matched,34396
12172,VI-0012172,VEND-0087,13399,2026-06-06,2026-07-06,Open,3718.28,3718.28,Matched,41331
1839,VI-0001839,VEND-0159,2019,2026-06-07,2026-07-07,Open,27088.56,27088.56,Matched,20996
4036,VI-0004036,VEND-0135,4438,2026-06-07,2026-07-07,Open,5271.42,5271.42,Matched,25322
6630,VI-0006630,VEND-0141,7293,2026-06-07,2026-07-07,Open,6253.02,6253.02,Matched,30425
9475,VI-0009475,VEND-0166,10425,2026-05-23,2026-07-07,Open,30986.79,30986.79,Matched,36022
9871,VI-0009871,VEND-0058,10861,2026-05-23,2026-07-07,Open,5261.27,5261.27,Matched,36802
13615,VI-0013615,VEND-0093,14986,2026-06-07,2026-07-07,Open,4434.97,4434.97,Matched,44170
4324,VI-0004324,VEND-0076,4755,2026-05-24,2026-07-08,Open,8955.98,8955.98,Matched,25890
4720,VI-0004720,VEND-0124,5191,2026-05-24,2026-07-08,Open,16447.9,16447.9,Matched,26668
1118,VI-0001118,VEND-0108,1227,2026-06-09,2026-07-09,Open,15898.6,15898.6,Matched,19577
1514,VI-0001514,VEND-0009,1663,2026-06-09,2026-07-09,Open,25411.54,25411.54,Matched,20357
2701,VI-0002701,VEND-0076,2969,2026-05-25,2026-07-09,Open,10803.12,10803.12,Matched,22690
3963,VI-0003963,VEND-0091,4359,2026-05-25,2026-07-09,Open,25686.49,25686.49,Matched,25179
5912,VI-0005912,VEND-0096,6501,2026-06-09,2026-07-09,Open,8793.55,8793.55,Matched,29011
7098,VI-0007098,VEND-0163,7807,2026-05-25,2026-07-09,Open,12644.67,12644.67,Matched,31344
8756,VI-0008756,VEND-0073,9633,2026-05-25,2026-07-09,Open,5735.75,5735.75,Matched,34607
9044,VI-0009044,VEND-0015,9949,2026-06-09,2026-07-09,Open,3563.45,3563.45,Matched,35174
9439,VI-0009439,VEND-0006,10385,2026-06-09,2026-07-09,Open,2679.69,2679.69,Matched,35952
11489,VI-0011489,VEND-0046,12645,2026-05-25,2026-07-09,Open,4029.29,4029.29,Matched,39989
11885,VI-0011885,VEND-0037,13081,2026-05-25,2026-07-09,Open,40496.08,40496.08,Matched,40767
12894,VI-0012894,VEND-0009,14194,2026-06-09,2026-07-09,Open,12918.25,12918.25,Matched,42750
13289,VI-0013289,VEND-0111,14630,2026-06-09,2026-07-09,Open,14231.47,14231.47,Matched,43528
1946,VI-0001946,VEND-0043,2137,2026-05-26,2026-07-10,Open,16827.22,16827.22,Matched,21207
3351,VI-0003351,VEND-0060,3686,2026-06-10,2026-07-10,Open,20631.03,20631.03,Quality Hold,23971
3892,VI-0003892,VEND-0042,4279,2026-06-10,2026-07-10,Open,21062.77,21062.77,Matched,25039
5801,VI-0005801,VEND-0178,6382,2026-05-26,2026-07-10,Open,3708.23,3708.23,Matched,28793
6091,VI-0006091,VEND-0057,6698,2026-06-10,2026-07-10,Open,460.98,460.98,Matched,29364
6342,VI-0006342,VEND-0136,6975,2026-05-26,2026-07-10,Open,10339.77,10339.77,Matched,29858
11131,VI-0011131,VEND-0118,12249,2026-05-26,2026-07-10,Open,17740.07,17740.07,Matched,39283
13074,VI-0013074,VEND-0150,14391,2026-06-10,2026-07-10,Open,5589.93,5589.93,Matched,43105
