id,routing_id,operation_number,work_center_code,setup_hours,run_hours_per_unit,queue_hours,outside_processing,yield_percent
1,1,10,WC-200-04,0.23,0.09,3.0,0,0.982
2,1,20,WC-200-06,0.23,0.115,5.0,0,0.979
3,1,30,WC-200-08,0.23,0.14,1.0,1,0.985
4,1,40,WC-200-02,0.23,0.165,3.0,0,0.982
5,2,10,WC-300-05,0.31,0.115,3.0,0,0.982
6,2,20,WC-300-07,0.31,0.14,5.0,0,0.979
7,2,30,WC-300-01,0.31,0.165,1.0,0,0.985
8,2,40,WC-300-03,0.31,0.19,3.0,0,0.982
9,2,50,WC-300-05,0.31,0.215,5.0,0,0.979
10,3,10,WC-100-06,0.39,0.14,3.0,0,0.982
11,3,20,WC-100-08,0.39,0.165,5.0,1,0.979
12,3,30,WC-100-02,0.39,0.19,1.0,0,0.985
13,3,40,WC-100-04,0.39,0.215,3.0,0,0.982
14,3,50,WC-100-06,0.39,0.24,5.0,0,0.979
15,3,60,WC-100-08,0.39,0.265,1.0,1,0.985
16,4,10,WC-200-07,0.47,0.165,3.0,0,0.982
17,4,20,WC-200-01,0.47,0.19,5.0,0,0.979
18,4,30,WC-200-03,0.47,0.215,1.0,0,0.985
19,5,10,WC-300-08,0.55,0.19,3.0,1,0.982
20,5,20,WC-300-02,0.55,0.215,5.0,0,0.979
21,5,30,WC-300-04,0.55,0.24,1.0,0,0.985
22,5,40,WC-300-06,0.55,0.265,3.0,0,0.982
23,6,10,WC-100-01,0.63,0.215,3.0,0,0.982
24,6,20,WC-100-03,0.63,0.24,5.0,0,0.979
25,6,30,WC-100-05,0.63,0.265,1.0,0,0.985
26,6,40,WC-100-07,0.63,0.29,3.0,0,0.982
27,6,50,WC-100-01,0.63,0.315,5.0,0,0.979
28,7,10,WC-200-02,0.15,0.24,3.0,0,0.982
29,7,20,WC-200-04,0.15,0.265,5.0,0,0.979
30,7,30,WC-200-06,0.15,0.29,1.0,0,0.985
31,7,40,WC-200-08,0.15,0.315,3.0,1,0.982
32,7,50,WC-200-02,0.15,0.34,5.0,0,0.979
33,7,60,WC-200-04,0.15,0.04,1.0,0,0.985
34,8,10,WC-300-03,0.23,0.265,3.0,0,0.982
35,8,20,WC-300-05,0.23,0.29,5.0,0,0.979
36,8,30,WC-300-07,0.23,0.315,1.0,0,0.985
37,9,10,WC-100-04,0.31,0.29,3.0,0,0.982
38,9,20,WC-100-06,0.31,0.315,5.0,0,0.979
39,9,30,WC-100-08,0.31,0.34,1.0,1,0.985
40,9,40,WC-100-02,0.31,0.04,3.0,0,0.982
41,10,10,WC-200-05,0.39,0.315,3.0,0,0.982
42,10,20,WC-200-07,0.39,0.34,5.0,0,0.979
43,10,30,WC-200-01,0.39,0.04,1.0,0,0.985
44,10,40,WC-200-03,0.39,0.065,3.0,0,0.982
45,10,50,WC-200-05,0.39,0.09,5.0,0,0.979
46,11,10,WC-300-06,0.47,0.34,3.0,0,0.982
47,11,20,WC-300-08,0.47,0.04,5.0,1,0.979
48,11,30,WC-300-02,0.47,0.065,1.0,0,0.985
49,11,40,WC-300-04,0.47,0.09,3.0,0,0.982
50,11,50,WC-300-06,0.47,0.115,5.0,0,0.979
51,11,60,WC-300-08,0.47,0.14,1.0,1,0.985
52,12,10,WC-100-07,0.55,0.04,3.0,0,0.982
53,12,20,WC-100-01,0.55,0.065,5.0,0,0.979
54,12,30,WC-100-03,0.55,0.09,1.0,0,0.985
